Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,24081495.30,26338035.24,25156400.43,25060186.61,22434650.05,2625536.56,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,3124400.00,3460513.04,3042014.74,3042014.74,3011643.86,30370.88,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,8260012.62,5333113.30,4398468.39,4398468.39,4397557.39,911.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Ciência e Tecnologia,1522000.00,1475239.18,1400254.35,1400254.35,1370980.67,29273.68,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Comunicações,332800.00,191670.25,191670.25,191670.25,191670.25,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,526300.00,413554.80,33958.78,33958.78,33958.78,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,2742977.98,6691561.44,6315152.04,5131059.38,5104720.01,26339.37,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,1084130.20,335108.80,298602.40,275089.23,275089.23,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Direitos da Cidadania,815200.00,444766.01,392343.86,392343.86,389643.01,2700.85,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,55810565.10,59919928.60,52239866.83,50270372.84,46841611.46,3428761.38,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,1906600.00,1536166.36,1466229.95,1466229.95,1305814.07,160415.88,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,221700.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,10330700.00,9556660.00,7462783.90,7462783.90,7462783.90,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,665000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Indústria,7000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,5022000.00,5022000.00,4555819.80,4146673.34,4087597.97,59075.37,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,9679000.00,10647744.00,10568930.79,10568930.79,10568930.79,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,1000000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,1268200.00,678573.25,627399.60,627399.60,627399.60,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,47520544.30,54349072.11,43607205.15,43591999.15,42419861.56,1172137.59,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,48000.00,35103.50,34215.80,34215.80,34215.80,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,100400.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,8939974.50,6144503.32,5781372.89,5185977.37,5112907.66,73069.71,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,185009000.00,192573313.20,167572689.95,163279628.33,155671036.06,7608592.27,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2600302&no_anexo=RREO-Anexo%2002&co_poder=E
