Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,5938000.00,10749148.00,10620192.76,10620192.76,10620192.76,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,1050000.00,458929.95,430138.39,430138.39,430138.39,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,2898000.00,2408093.24,2197720.26,2197720.26,2197720.26,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,2249000.00,3430696.36,3079596.94,3079596.94,3079596.94,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,542000.00,1150797.62,1148584.69,1148584.69,1148584.69,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
Direitos da Cidadania,267000.00,687443.55,639440.24,639440.24,639440.24,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,36878800.00,60696776.05,58625617.12,58625617.12,58625617.12,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,3666000.00,3624950.00,3600584.60,3600584.60,3600584.60,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,1447000.00,1530600.00,1529340.75,1529340.75,1529340.75,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
Essencial à Justiça,698000.00,986400.00,979476.35,979476.35,979476.35,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,5353000.00,1523763.60,1463983.84,1463983.84,1463983.84,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,2819110.00,3263332.20,2856859.83,2854449.73,2854449.73,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,1046390.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,335000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,23420500.00,23113393.05,21827268.31,21827268.31,21827268.31,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,15692200.00,21038936.47,20565787.87,20565787.87,20565787.87,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,104300000.00,134663260.09,129564591.95,129562181.85,129562181.85,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2900801&no_anexo=RREO-Anexo%2002&co_poder=E
