Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,6966870.00,9302942.56,8986607.27,8677704.05,8677704.05,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,1647000.00,1399178.22,418420.54,317053.95,317053.95,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,1454600.00,1793180.80,1682969.81,1659959.71,1659959.71,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,214000.00,363000.00,363000.00,363000.00,363000.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,626500.00,1366485.79,365468.65,337834.40,337834.40,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,578000.00,2606199.27,2573713.84,527492.40,527492.40,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,13961800.00,23372676.19,22793157.35,18103714.60,18103714.60,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,2174000.00,2121411.77,2121408.39,2120837.05,2120837.05,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,1288500.00,2996618.70,2937052.71,2557405.59,2557405.59,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,20000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,800000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,2237130.00,2237130.00,1722456.36,1688557.66,1688557.66,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,10000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,719700.00,300984.13,279702.70,222417.70,222417.70,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,20768500.00,28555383.38,26932914.95,24734714.05,24734714.05,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,301000.00,374642.63,368531.68,344518.21,344518.21,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,182900.00,150134.81,149853.48,149785.48,149785.48,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,5872500.00,8099365.02,7159955.02,6779858.29,6779858.29,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,59823000.00,85039333.27,78855212.75,68584853.14,68584853.14,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3101904&no_anexo=RREO-Anexo%2002&co_poder=E
