Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,9573700.00,9098386.92,8147863.16,8147863.16,8147863.16,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,684300.00,819738.60,736405.89,736405.89,736405.89,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,2820300.00,2733806.74,2369905.47,2369905.47,2369905.47,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,43000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,1068300.00,2095444.74,1935446.21,1845946.21,1845946.21,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,462300.00,380237.65,280676.40,280676.40,280676.40,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,42538750.00,45420392.91,42059045.55,42059045.55,42059045.55,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,2825450.00,1874117.62,1742938.31,1742938.31,1742938.31,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,1256103.00,815921.66,243032.99,243032.99,243032.99,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,30000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,2822809.53,2764335.33,2396137.38,2396137.38,2396137.38,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,250000.00,250000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,1770000.00,1548887.50,538320.97,538320.97,538320.97,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,16174060.00,18961292.78,15901714.05,15901713.55,15901713.55,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
Trabalho,75000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,1368510.00,1204499.60,117772.07,117772.07,117772.07,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,5185800.00,6296791.63,4818147.19,4818147.19,4818147.19,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,88948382.53,94263853.68,81287405.64,81197905.14,81197905.14,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2200509&no_anexo=RREO-Anexo%2002&co_poder=E
