Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,7083600.00,6222750.00,5849022.39,5849022.39,5849022.39,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2902005&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,1250700.00,1784200.00,1500825.21,1500825.21,1500825.21,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2902005&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,3554580.00,3554580.00,2066860.55,2066860.55,2066860.55,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2902005&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,2684200.00,3412100.00,3017513.81,3017513.81,3017513.81,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2902005&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,1797750.00,1383851.94,471795.50,471795.50,471795.50,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2902005&no_anexo=RREO-Anexo%2002&co_poder=E
Direitos da Cidadania,267300.00,268900.00,236096.68,236096.68,236096.68,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2902005&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,44237940.00,46024440.00,35448232.08,35448232.08,35448232.08,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2902005&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,2330300.00,3647500.00,3436695.59,3436695.59,3436695.59,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2902005&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,883300.00,544284.23,259577.58,259577.58,259577.58,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2902005&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,17800.00,17800.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2902005&no_anexo=RREO-Anexo%2002&co_poder=E
