Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,5928000.00,5842479.48,4137026.47,4137026.47,4137026.47,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,2217800.00,2684129.99,1562742.46,1562742.46,1562742.46,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,2422300.00,2464784.09,2167009.57,2167009.57,2167009.57,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,261000.00,283982.06,238982.06,238982.06,238982.06,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,763000.00,1193000.00,253738.34,253738.34,253738.34,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,4395000.00,4514483.01,364083.01,364083.01,364083.01,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,10894701.20,15280239.75,13209667.18,13209667.18,13209667.18,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,673000.00,672063.03,369063.03,369063.03,369063.03,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,1248400.00,1248400.00,5288.68,5288.68,5288.68,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
Indústria,231000.00,229735.98,29735.98,29735.98,29735.98,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,1856694.00,1856694.00,1407869.23,1407869.23,1407869.23,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,104000.00,104000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,219000.00,219000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,7233389.00,10183924.60,10483491.40,10483491.40,10483491.40,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,391000.00,486243.46,294276.31,294276.31,294276.31,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,13879550.00,16929351.09,9607143.89,9607143.89,9607143.89,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,24502500.00,25281405.60,3599235.19,3599235.19,3599235.19,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,77220334.20,89473916.14,47729352.80,47729352.80,47729352.80,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4201505&no_anexo=RREO-Anexo%2002&co_poder=E
