Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,33555014.90,36927405.79,32849401.96,32835538.96,31679325.15,1156213.81,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2601706&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,7011383.80,7586639.79,6905812.31,6905812.31,6626281.53,279530.78,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2601706&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,10040589.20,9684009.20,8720223.74,8671164.27,8514186.66,156977.61,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2601706&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,4142000.00,4736844.87,3262238.93,3262238.93,3261848.85,390.08,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2601706&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,519178.40,519178.40,313347.94,313347.94,313347.94,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2601706&no_anexo=RREO-Anexo%2002&co_poder=E
Direitos da Cidadania,521794.60,368824.60,65396.30,65396.30,65396.30,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2601706&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,92399380.00,100966961.57,94563233.12,94505933.22,84808485.47,9697447.75,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2601706&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,7171295.10,9136365.46,7837284.89,7837284.89,6655428.49,1181856.40,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2601706&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,2716000.00,3656535.00,3355695.52,3355695.52,3355695.52,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2601706&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,47000.00,47000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2601706&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,20000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2601706&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,10917000.00,10957000.00,10399655.07,10399655.07,10280877.98,118777.09,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2601706&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,33023000.00,41027600.00,33854084.68,33854084.68,33854084.68,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2601706&no_anexo=RREO-Anexo%2002&co_poder=E
