Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,6738828.00,12335448.08,10615962.45,8560810.50,8560810.50,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,2061427.00,1514378.54,483987.41,305933.34,305933.34,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,250000.00,250000.00,18360.00,18360.00,18360.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,694710.00,1071733.62,1013359.13,575308.09,575308.09,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,943230.00,264731.61,88621.64,67323.45,67323.45,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,19945703.00,17460985.89,13395909.06,12449115.83,12449115.83,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,551000.00,602639.00,594521.07,522864.70,522864.70,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,121000.00,121000.00,27580.00,14272.00,14272.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,7000.00,7000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,10000.00,10000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,3600000.00,3600000.00,3348930.13,3288690.86,3288690.86,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
Organização Agrária,5000.00,5000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,120000.00,120000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,1055000.00,365000.00,57598.00,57598.00,57598.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,11832164.00,16077501.51,10907872.66,9748604.92,9748604.92,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,4381000.00,1669770.85,1486729.96,1092114.07,1092114.07,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,2783938.00,5903666.04,4353487.66,3218892.13,3218892.13,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,55100000.00,61378855.14,46392919.17,39919887.89,39919887.89,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5101837&no_anexo=RREO-Anexo%2002&co_poder=E
