Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,2292954.39,5247047.39,4925820.63,4819009.29,4819009.29,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,616774.80,419774.80,128203.42,123719.42,123719.42,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,1269050.81,1191957.81,491081.91,490927.73,490927.73,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,184649.74,184649.74,90000.00,90000.00,90000.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,259868.31,377868.31,244997.39,244997.39,244997.39,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,15194681.25,11910181.25,5609499.50,5537432.02,5537432.02,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,134322.03,220322.03,178756.80,178756.80,178756.80,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,197921.58,33921.58,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,1259516.91,978516.91,695717.61,691481.61,691481.61,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,209074.96,735074.96,653497.03,653497.03,653497.03,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,258436.04,21436.04,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,568726.63,158726.63,44118.16,44118.16,44118.16,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,8475762.91,8209762.91,5928090.47,5889710.92,5889710.92,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
Trabalho,90076.12,337076.12,336331.52,336331.52,336331.52,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,211816.39,275816.39,195562.68,195562.68,195562.68,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,1324297.60,2245797.60,1738331.67,1738331.67,1738331.67,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,32547930.47,32547930.47,21260008.79,21033876.24,21033876.24,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2201804&no_anexo=RREO-Anexo%2002&co_poder=E
