Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,4327620.00,4596444.37,4507092.70,4494444.12,4494444.12,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2903953&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,334220.00,564815.00,558508.14,558508.14,558508.14,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2903953&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,852834.00,1005259.56,939618.90,938337.30,938337.30,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2903953&no_anexo=RREO-Anexo%2002&co_poder=E
Ciência e Tecnologia,3000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2903953&no_anexo=RREO-Anexo%2002&co_poder=E
Comunicações,3000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2903953&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,24000.00,1088496.35,1084202.68,1059499.61,1059499.61,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2903953&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,41281.00,568858.81,548172.78,548172.78,548172.78,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2903953&no_anexo=RREO-Anexo%2002&co_poder=E
Direitos da Cidadania,30000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2903953&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,13975315.00,18091922.11,18025104.74,18023182.34,18023182.34,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2903953&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,3176726.00,1150417.05,1138405.85,1138405.85,1138405.85,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2903953&no_anexo=RREO-Anexo%2002&co_poder=E
