Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,6284385.50,8143032.91,7380798.29,7361398.74,7361398.74,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,844040.00,471980.36,396255.36,396255.36,396255.36,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,4925140.00,6466640.49,4448014.45,4448014.45,4448014.45,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Comunicações,24000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,1258946.53,2256344.78,2256344.78,2256344.78,2256344.78,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,362000.00,3496393.20,1111825.68,1111825.68,1111825.68,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,33741044.78,52050254.51,50270558.00,38597108.82,38597108.82,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,80450.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,314830.00,40000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Judiciária,27573.00,332028.74,145555.56,145555.56,145555.56,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,1995503.00,2037063.00,1762784.10,1695917.77,1695917.77,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,200000.00,350869.51,320647.67,309635.56,309635.56,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,40000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,3583398.43,5661402.49,4076382.46,4076382.46,4076382.46,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,19784805.05,21162880.72,19140301.13,19140301.13,19140301.13,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,82450.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,235020.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,11437612.82,12134152.68,10175728.09,10175728.09,10175728.09,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,85221199.11,114603043.39,101485195.57,89714468.40,89714468.40,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2102077&no_anexo=RREO-Anexo%2002&co_poder=E
