ano,municipio_ibge,municipio_nome,localidade_do_gasto_raw,numero_emenda,autor,partido,uf_autor,tipo_emenda,funcao,subfuncao,valor_empenhado,valor_liquidado,valor_pago,fonte_api
2016,2904050,Bonito,RIO BONITO - RJ,201637650008,SORAYA SANTOS,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"201.280,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2016,2904050,Bonito,RIO BONITO - RJ,201614920011,EDUARDO CUNHA,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"205.870,00","205.870,00","205.870,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2016,2904050,Bonito,BONITO DE MINAS - MG,REL. GERAL,RELATOR GERAL,,,Emenda de Comissão,Educação,Transferências para a educação básica,"227.871,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2016,2904050,Bonito,RIO BONITO DO IGUAÇU - PR,REL. GERAL,RELATOR GERAL,,,Emenda de Comissão,Educação,Transferências para a educação básica,"230.210,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2016,2904050,Bonito,CAPÃO BONITO - SP,REL. GERAL,RELATOR GERAL,,,Emenda de Comissão,Educação,Transferências para a educação básica,"249.740,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2016,2904050,Bonito,RIO BONITO DO IGUAÇU - PR,201633090008,NELSON MEURER,,,Emenda Individual - Transferências com Finalidade Definida,Comércio e serviços,Turismo,"250.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2016,2904050,Bonito,BONITO - PE,201612180004,GONZAGA PATRIOTA,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"250.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2016,2904050,Bonito,BONITO DE MINAS - MG,REL. GERAL,RELATOR GERAL,,,Emenda de Comissão,Comércio e serviços,Turismo,"250.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2016,2904050,Bonito,BONITO - PE,201612180003,GONZAGA PATRIOTA,,,Emenda Individual - Transferências com Finalidade Definida,Saneamento,Saneamento básico urbano,"256.721,06","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2016,2904050,Bonito,BONITO DE MINAS - MG,REL. GERAL,RELATOR GERAL,,,Emenda de Comissão,Desporto e lazer,Desporto comunitário,"292.500,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2016,2904050,Bonito,BONITO - MS,201637830007,ZECA DO PT,,,Emenda Individual - Transferências com Finalidade Definida,Cultura,Difusão cultural,"300.000,00","300.000,00","300.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2016,2904050,Bonito,BONITO - PE,201629950001,DOUGLAS CINTRA,,,Emenda Individual - Transferências com Finalidade Definida,Agricultura,Promoção da produção agropecuária,"580.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
