Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,41385970.00,63745787.25,51003635.93,49260650.39,31243820.79,18016829.60,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4303004&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,2642666.00,5315079.53,2431001.78,1625920.14,1625920.14,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4303004&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,9764264.00,13709562.16,7805898.20,7459665.33,7426837.59,32827.74,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4303004&no_anexo=RREO-Anexo%2002&co_poder=E
Ciência e Tecnologia,1200.00,1200.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4303004&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,203400.00,306367.10,196514.81,176914.81,176914.81,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4303004&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,782058.00,1991654.92,1452196.09,1444133.04,1444133.04,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4303004&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,2292137.00,2556411.06,180420.12,165845.37,165845.37,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4303004&no_anexo=RREO-Anexo%2002&co_poder=E
Direitos da Cidadania,10500.00,15500.00,13592.84,10563.44,10563.44,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4303004&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,115060499.00,124021932.78,104288989.80,103017735.39,74706477.62,28311257.77,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4303004&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,58238928.00,36393479.27,28659446.23,28557164.24,10376144.28,18181019.96,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4303004&no_anexo=RREO-Anexo%2002&co_poder=E
