Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,27186000.00,25715588.22,25715588.22,24910444.69,24910444.69,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,4155948.00,5391183.07,5391183.07,5289300.14,5289300.14,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,10000.00,300429.80,300429.80,138198.40,138198.40,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,833000.00,930241.92,930241.92,907780.27,907780.27,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,679000.00,678874.66,678874.66,573814.78,573814.78,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,38499061.00,40230181.44,40230181.43,39616685.01,39616685.01,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,11083619.00,19113242.48,19113242.48,18611476.70,18611476.70,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,1700000.00,1788927.26,1788927.26,1656409.89,1656409.89,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
Essencial à Justiça,1005000.00,1398599.71,1398599.71,1394594.71,1394594.71,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,2684000.00,2815012.41,2815012.41,2569780.65,2569780.65,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,4680000.00,4680000.00,4679243.24,4679243.24,4679243.24,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,612242.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,26770062.00,36928514.47,36928514.47,35772020.92,35772020.92,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,256000.00,230448.29,230448.29,185975.10,185975.10,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
Trabalho,403000.00,621120.66,621120.66,618872.50,618872.50,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,100000.00,166300.00,166300.00,139408.80,139408.80,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,2431000.00,2775644.92,2775644.92,2277641.66,2277641.66,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,123087932.00,143764309.31,143763552.54,139341647.46,139341647.46,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3508603&no_anexo=RREO-Anexo%2002&co_poder=E
