Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,164352000.00,178371763.49,166016296.80,165779941.18,159121485.57,6658455.61,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,37229000.00,40925477.12,35973283.90,35905482.07,35399945.32,505536.75,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,563000.00,698000.00,454215.11,451791.11,451791.11,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,510000.00,1130814.79,718810.61,718810.61,718810.61,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,10184000.00,20613849.94,17656787.44,17614237.44,17614237.44,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,304461000.00,313679530.75,300809831.56,300749756.88,286832670.99,13917085.89,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,69187536.00,76579936.00,75990568.93,75990568.93,50508471.01,25482097.92,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,2112000.00,2994000.00,1531336.84,1523916.14,1523916.14,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,40774000.00,37352113.81,33875778.53,33875778.53,33875778.53,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,31551824.00,31551824.00,24296429.80,24296429.80,22972972.55,1323457.25,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,54916000.00,57716000.00,55252232.59,55252232.59,54843818.55,408414.04,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,102753500.00,94153500.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,217956000.00,253988405.15,217728078.09,217027701.45,215057936.52,1969764.93,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,31773000.00,34265994.76,31896045.48,31306141.18,30488815.00,817326.18,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
Trabalho,21050000.00,16712000.00,16340824.34,16004298.92,16004298.92,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,11727000.00,13626000.00,10417766.05,10414460.61,10414460.61,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,148899000.00,179797860.71,165592461.72,165582861.98,165582861.98,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,1249998860.00,1354157070.52,1154550747.79,1152494409.42,1101412270.85,51082138.57,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3509205&no_anexo=RREO-Anexo%2002&co_poder=E
