Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,8135410.46,25986354.82,25406930.42,22276582.72,22276582.72,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1600204&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,251889.60,391770.44,270484.06,270484.06,270484.06,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1600204&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,2451970.73,5957961.90,4636535.94,4207044.81,4207044.81,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1600204&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,166443.20,126236.18,109466.87,109466.87,109466.87,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1600204&no_anexo=RREO-Anexo%2002&co_poder=E
Direitos da Cidadania,34569.60,34569.60,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1600204&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,16948571.03,27466258.49,24265702.45,24265702.45,24265702.45,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1600204&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,1478380.80,1478380.80,678317.67,674205.41,674205.41,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1600204&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,1352659.59,1942591.89,1842806.34,1795906.34,1795906.34,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1600204&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,1443573.79,3724.84,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1600204&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,10739248.18,18097234.84,15546021.95,15546021.95,15546021.95,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1600204&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,5116408.27,17681610.31,17428404.45,16774820.97,16774820.97,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1600204&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,48119125.25,99166694.11,90184670.15,85920235.58,85920235.58,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1600204&no_anexo=RREO-Anexo%2002&co_poder=E
