ano,municipio_ibge,municipio_nome,localidade_do_gasto_raw,numero_emenda,autor,partido,uf_autor,tipo_emenda,funcao,subfuncao,valor_empenhado,valor_liquidado,valor_pago,fonte_api
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202140650010,ROSE MODESTO,,,Emenda Individual - Transferências com Finalidade Definida,Desporto e lazer,Desporto comunitário,"20,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202128360012,FABIO TRAD,,,Emenda Individual - Transferências com Finalidade Definida,Desporto e lazer,Desporto comunitário,"20,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202141810006,NELSINHO TRAD FILHO,,,Emenda Individual - Transferências com Finalidade Definida,Assistência social,Assistência comunitária,"20,00","20,00","20,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202139640007,DR. LUIZ OVANDO,,,Emenda Individual - Transferências com Finalidade Definida,Defesa nacional,Atenção básica,"21,00","209.999,98","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202139640005,DR. LUIZ OVANDO,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Ensino profissional,"25,00","25,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202140860013,SORAYA THRONICKE,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Educação básica,"400.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202128360003,FABIO TRAD,,,Emenda Individual - Transferências Especiais,Encargos especiais,Outras transferências,"480.000,00","180.000,00","180.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202128360013,FABIO TRAD,,,Emenda Individual - Transferências com Finalidade Definida,Assistência social,Assistência comunitária,"526.758,00","526.758,00","526.758,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202121700010,DAGOBERTO NOGUEIRA,,,Emenda Individual - Transferências Especiais,Encargos especiais,Outras transferências,"720.000,00","720.000,00","720.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202128360015,FABIO TRAD,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"849.994,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202141450019,BIA CAVASSA,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"999.976,00","999.976,00","999.976,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202114510003,VANDER LOUBET,,,Emenda Individual - Transferências com Finalidade Definida,Urbanismo,Assistência comunitária,"100,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202140860004,SORAYA THRONICKE,,,Emenda Individual - Transferências Especiais,Encargos especiais,Outras transferências,"1.250.000,00","1.250.000,00","1.250.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202128360009,FABIO TRAD,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Educação básica,"1.923.228,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202114510002,VANDER LOUBET,,,Emenda Individual - Transferências com Finalidade Definida,Cultura,Difusão cultural,"2.000.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202171130002,BANCADA DO MATO GROSSO DO SUL,,,Emenda de Bancada,Saúde,Assistência hospitalar e ambulatorial,"8.998.975,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202171130012,BANCADA DO MATO GROSSO DO SUL,,,Emenda de Bancada,Comércio e serviços,Turismo,"15.722.777,00","3.500,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,2701506,Campo Grande,CAMPO GRANDE - MS,202171130004,BANCADA DO MATO GROSSO DO SUL,,,Emenda de Bancada,Urbanismo,infra-estrutura urbana,"22.916.158,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
