Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,3298269.00,3510196.12,3105659.94,3093382.94,3093382.94,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2906402&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,585200.00,298945.57,283911.74,283911.74,283911.74,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2906402&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,1205700.00,1605884.09,1380615.99,1309696.97,1309696.97,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2906402&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,1039500.00,1435753.18,1270719.97,1242119.97,1242119.97,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2906402&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,162631.00,150148.45,148271.32,148271.32,148271.32,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2906402&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,11922610.00,12470418.80,11066566.98,11065721.98,11065721.98,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2906402&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,1749630.00,1647630.00,1539322.55,1539322.55,1539322.55,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2906402&no_anexo=RREO-Anexo%2002&co_poder=E
Judiciária,180000.00,228750.00,209833.33,209833.33,209833.33,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2906402&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,1509560.00,1509560.00,1397994.88,1397994.88,1397994.88,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2906402&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,200000.00,10292.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2906402&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,7832700.00,7991688.91,7128378.88,7023687.14,7023687.14,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2906402&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,6585404.00,7038699.46,5498069.90,5480215.08,5480215.08,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2906402&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,36271204.00,37897966.58,33029345.48,32794157.90,32794157.90,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2906402&no_anexo=RREO-Anexo%2002&co_poder=E
