Categoria,Cod_Conta,Previsto_Inicial,Previsto_Atualizado,Arrecadado_Bimestre,Arrecadado_Acumulado,Fonte_URL
Total de Receitas,TotalReceitas,175063948.00,180979363.48,41744634.30,219606878.33,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3115300&no_anexo=RREO-Anexo%2001
Receitas Exceto Intra-Orçamentárias,ReceitasExcetoIntraOrcamentarias,175063948.00,180979363.48,41744634.30,219606878.33,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3115300&no_anexo=RREO-Anexo%2001
Receitas Correntes,ReceitasCorrentes,159931870.00,164238884.48,41744634.30,212558387.41,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3115300&no_anexo=RREO-Anexo%2001
Receita Tributária,ReceitaTributaria,24765400.00,24765400.00,5523844.47,30878235.48,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3115300&no_anexo=RREO-Anexo%2001
Impostos,Impostos,21003200.00,21003200.00,5257627.02,27196141.02,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3115300&no_anexo=RREO-Anexo%2001
Taxas,Taxas,3762200.00,3762200.00,266217.45,3682094.46,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3115300&no_anexo=RREO-Anexo%2001
Receita de Contribuições,ReceitaDeContribuicoes,3901600.00,3901600.00,1048638.78,4631196.63,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3115300&no_anexo=RREO-Anexo%2001
Receita Patrimonial,ReceitaPatrimonial,300310.00,300310.00,928684.68,5323200.96,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3115300&no_anexo=RREO-Anexo%2001
Receita de Serviços,ReceitaDeServicos,8010.00,8010.00,46456.36,131125.04,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3115300&no_anexo=RREO-Anexo%2001
Transferências Correntes,TransferenciasCorrentes,129578750.00,133885764.48,34022069.66,170558610.67,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3115300&no_anexo=RREO-Anexo%2001
Transferências da União,TransferenciasCorrentesDaUniaoEDeSuasEntidades,70742750.00,72430487.67,17542181.69,90461950.44,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3115300&no_anexo=RREO-Anexo%2001
Transferências dos Estados,TransferenciasCorrentesDosEstadosEDoDistritoFederalEDeSuasEntidades,34139000.00,36758276.81,11761906.25,49250576.70,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3115300&no_anexo=RREO-Anexo%2001
Transferências de Outras Inst. Públicas,TransferenciasCorrentesDeOutrasInstituicoesPublicas,24000000.00,24000000.00,4523609.41,29513418.53,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3115300&no_anexo=RREO-Anexo%2001
Outras Receitas Correntes,OutrasReceitasCorrentes,1377800.00,1377800.00,174940.35,1036018.63,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3115300&no_anexo=RREO-Anexo%2001
Receitas de Capital,ReceitasDeCapital,15132078.00,16740479.00,0.00,7048490.92,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3115300&no_anexo=RREO-Anexo%2001
