ano,municipio_ibge,municipio_nome,localidade_do_gasto_raw,numero_emenda,autor,partido,uf_autor,tipo_emenda,funcao,subfuncao,valor_empenhado,valor_liquidado,valor_pago,fonte_api
2024,2303600,Catarina,SANTA CATARINA (UF),202439290011,CARLOS CHIODINI,,,Emenda Individual - Transferências com Finalidade Definida,Assistência social,Assistência comunitária,"15,00","15,00","15,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202443920012,ISMAEL,,,Emenda Individual - Transferências com Finalidade Definida,Segurança pública,Policiamento,"199.654,88","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202443010008,ANA PAULA LIMA,,,Emenda Individual - Transferências com Finalidade Definida,Organização agrária,Promoção da produção agropecuária,"200.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202444010008,JULIA ZANATTA,,,Emenda Individual - Transferências com Finalidade Definida,Ciência e Tecnologia,Difusão do conhecimento científico e tecnológico,"20,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202428550007,PEDRO UCZAI,,,Emenda Individual - Transferências com Finalidade Definida,Organização agrária,Ordenamento territorial,"20,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202443920013,ISMAEL,,,Emenda Individual - Transferências com Finalidade Definida,Assistência social,Assistência comunitária,"20,00","10,00","10,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202443010020,ANA PAULA LIMA,,,Emenda Individual - Transferências com Finalidade Definida,Trabalho,Fomento ao trabalho,"20,00","20,00","20,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202442730011,JORGE SEIF,,,Emenda Individual - Transferências com Finalidade Definida,Ciência e Tecnologia,Difusão do conhecimento científico e tecnológico,"20,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202443250011,COBALCHINI,,,Emenda Individual - Transferências com Finalidade Definida,Comércio e serviços,Promoção comercial,"20,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202443010010,ANA PAULA LIMA,,,Emenda Individual - Transferências com Finalidade Definida,Cultura,Difusão cultural,"20,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202443010011,ANA PAULA LIMA,,,Emenda Individual - Transferências com Finalidade Definida,Direitos da cidadania,"Direitos individuais, coletivos e difusos","20,00","20,00","20,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202443920010,ISMAEL,,,Emenda Individual - Transferências com Finalidade Definida,Desporto e lazer,Desporto comunitário,"20,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202443920011,ISMAEL,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Ensino superior,"20,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202428550011,PEDRO UCZAI,,,Emenda Individual - Transferências com Finalidade Definida,Cultura,Difusão cultural,"200.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202428550006,PEDRO UCZAI,,,Emenda Individual - Transferências com Finalidade Definida,Organização agrária,Ordenamento territorial,"20,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202442510009,IVETE DA SILVEIRA,,,Emenda Individual - Transferências com Finalidade Definida,Assistência social,Assistência comunitária,"250.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202439290006,CARLOS CHIODINI,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Ensino superior,"30,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202422100023,ESPERIDIAO AMIN,,,Emenda Individual - Transferências com Finalidade Definida,Agricultura,Promoção da produção agropecuária,"30,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202439290009,CARLOS CHIODINI,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Ensino superior,"300.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202439290008,CARLOS CHIODINI,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Assistência hospitalar e ambulatorial,"300.000,00","246.000,00","231.609,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202422100014,ESPERIDIAO AMIN,,,Emenda Individual - Transferências com Finalidade Definida,Agricultura,Desenvolvimento tecnológico e engenharia,"30,00","262.782,65","262.782,65",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202428550018,PEDRO UCZAI,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Ensino superior,"30,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202443010018,ANA PAULA LIMA,,,Emenda Individual - Transferências com Finalidade Definida,Segurança pública,Policiamento,"34,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202439490005,DANIEL FREITAS,,,Emenda Individual - Transferências com Finalidade Definida,Defesa nacional,Defesa terrestre,"346.752,10","189.105,48","189.105,48",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202422100009,ESPERIDIAO AMIN,,,Emenda Individual - Transferências com Finalidade Definida,Segurança pública,Policiamento,"36,00","348.600,00","348.600,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
