Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,4107700.00,7894018.17,5286502.89,5286502.89,5286502.89,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,811000.00,818563.71,27851.03,27851.03,27851.03,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,5501261.63,8480320.06,3585491.05,3575474.05,3575474.05,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Ciência e Tecnologia,278000.00,1316355.22,946888.76,946888.76,946888.76,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Comunicações,38000.00,38000.00,2890.00,2890.00,2890.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,1339100.00,2694860.37,1897494.54,1897494.54,1897494.54,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,147000.00,337346.82,201646.89,201646.89,201646.89,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,19966713.45,44442850.78,29214106.67,29208895.67,26333906.16,2874989.51,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,3568000.00,5764015.61,3501113.66,3501113.66,3501113.66,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,1777000.00,1777000.00,50334.29,50334.29,50334.29,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Essencial à Justiça,4177000.00,9116227.39,7832168.52,7784168.52,7784168.52,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,507377.00,507377.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,253000.00,253000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Indústria,101000.00,101000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,4662668.40,4662668.40,4432592.25,3624883.37,3408350.60,216532.77,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,16658000.00,22690363.13,16218455.26,16481832.26,11361981.57,5119850.69,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,300000.00,300000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,292000.00,292000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,17383889.13,42732108.27,28150288.57,28127478.23,28127478.23,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,59100.00,864301.72,934714.54,934714.54,934714.54,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,272000.00,1101482.51,649011.58,649011.58,649011.58,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,13239429.60,24946826.18,16900495.35,16735991.15,16735991.15,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,95439239.21,181130685.34,119832045.85,119037171.43,110825798.46,8211372.97,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5206404&no_anexo=RREO-Anexo%2002&co_poder=E
