Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,17629365.00,20085073.44,19636337.90,19621952.02,19621952.02,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2403103&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,3600500.00,4110818.10,3720548.07,3720548.07,3720548.07,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2403103&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,4226100.00,4149392.98,3931914.94,3931647.04,3931647.04,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2403103&no_anexo=RREO-Anexo%2002&co_poder=E
Comunicações,20000.00,6230.42,6230.42,6230.42,6230.42,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2403103&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,1215000.00,2442641.46,2350502.84,2204877.50,2204877.50,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2403103&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,1147700.00,784133.56,672732.49,570717.13,570717.13,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2403103&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,845233.00,564147.12,513359.65,497099.95,497099.95,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2403103&no_anexo=RREO-Anexo%2002&co_poder=E
Direitos da Cidadania,301100.00,277284.52,211150.81,211150.81,211150.81,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2403103&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,40541340.00,53000089.73,51134526.79,51109325.63,51109325.63,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2403103&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,3000000.00,6148062.57,6095536.64,6095536.64,6095536.64,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2403103&no_anexo=RREO-Anexo%2002&co_poder=E
