Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,10669510.00,9656960.00,8853311.08,8745297.72,8745297.72,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,475600.00,339300.00,279410.41,279410.41,279410.41,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,1530900.00,1671640.00,1138818.15,1138026.47,1138026.47,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Comunicações,80500.00,80500.00,55456.60,54823.95,54823.95,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,649100.00,1522186.15,1175117.59,1173117.59,1173117.59,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,711100.00,991060.00,842230.28,842230.28,842230.28,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,619500.00,320200.00,223020.62,223020.62,223020.62,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,15169300.00,17500850.00,14075621.74,12541390.20,12541390.20,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,1452000.00,1542967.80,1015309.96,1015309.96,1015309.96,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,880300.00,851800.00,771099.52,771099.52,771099.52,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,23000.00,11000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,2100000.00,2100000.00,1179241.12,1179241.12,1179241.12,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,400000.00,2200.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,2012000.00,1472500.00,1341226.97,1292509.97,1292509.97,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,22818690.00,25037864.90,19531557.24,19139959.22,19139959.22,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,225000.00,282100.00,133330.37,133330.37,133330.37,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,10665500.00,12412694.30,9190644.55,9170445.23,9170445.23,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,1918500.00,3111700.00,2942512.57,2941567.57,2941567.57,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,72400500.00,78907523.15,62747908.77,60640780.20,60640780.20,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3121209&no_anexo=RREO-Anexo%2002&co_poder=E
