Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,4712810.41,6350355.07,6231867.34,6132907.34,6132907.34,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,838127.36,246353.92,182544.56,182544.56,182544.56,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,1584873.16,1450779.43,1339127.47,1339127.47,1339127.47,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,50000.00,12000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,1365834.09,3569568.17,3429956.66,3429956.66,3429956.66,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,479385.70,397018.15,369818.15,369818.15,369818.15,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,7079970.95,8283708.13,7766401.96,7766401.96,7766401.96,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,486681.92,950917.30,888029.15,888029.15,888029.15,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,673792.21,30875.97,14500.16,14500.16,14500.16,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,413455.98,30263.92,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
Judiciária,14851.28,11014.29,9278.99,9278.99,9278.99,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,1600000.00,1405511.86,1405511.86,1405511.86,1405511.86,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,360000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,1227378.90,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,7216885.93,8317992.02,8059480.62,7935985.62,7935985.62,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,3569106.46,2044822.60,1952858.29,1952858.29,1952858.29,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,4690107.55,3262081.07,2953941.44,2953941.44,2953941.44,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,36363261.90,36363261.90,34603316.65,34380861.65,34380861.65,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5208301&no_anexo=RREO-Anexo%2002&co_poder=E
