Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,5450650.00,5134249.82,4084368.55,3986739.74,3986739.74,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2910305&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,254900.00,198007.28,111025.28,111025.28,111025.28,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2910305&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,2254930.00,2254930.00,1182702.81,1168883.62,1168883.62,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2910305&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,1288050.00,847700.00,740149.33,740149.33,740149.33,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2910305&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,593500.00,272437.55,209016.82,190855.69,190855.69,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2910305&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,17192720.00,19709452.60,17619276.17,17618936.19,17618936.19,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2910305&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,1774250.00,2124250.00,1710189.53,1710189.53,1710189.53,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2910305&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,1444000.00,1444000.00,1296754.82,1296754.82,1296754.82,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2910305&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,109000.00,109000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2910305&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,14166320.00,14699959.57,8399791.67,8374964.72,8374964.72,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2910305&no_anexo=RREO-Anexo%2002&co_poder=E
Trabalho,27250.00,27250.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2910305&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,9150290.00,7418262.75,3129822.05,3129822.05,3129822.05,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2910305&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,53705860.00,54239499.57,38483097.03,38328320.97,38328320.97,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2910305&no_anexo=RREO-Anexo%2002&co_poder=E
