Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,48901500.00,45194965.69,44420716.40,43748442.18,43748442.18,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,32566000.00,40369742.30,32042656.12,30565438.44,30565438.44,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,1304000.00,3421698.00,3397503.48,3397503.48,3397503.48,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,10163550.00,11748785.17,11458024.41,11185260.26,11185260.26,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,8480000.00,9541867.08,9112059.21,9080925.30,9080925.30,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Direitos da Cidadania,492000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,179043900.00,185454179.05,180547675.18,176553344.03,176553344.03,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,17224500.00,20658000.00,20594694.88,20594694.88,20594694.88,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Essencial à Justiça,1953000.00,2347200.00,2342839.33,2342839.33,2342839.33,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,7209500.00,5648443.00,3812503.49,3812503.49,3812503.49,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,4800000.00,5717201.00,5440111.00,5440111.00,5440111.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Indústria,530000.00,81100.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,18925500.00,19625389.00,19625382.79,19507209.59,19507209.59,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,14574900.00,18374900.00,16681087.58,16679792.90,16679792.90,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,27567900.00,27567900.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,14706000.00,14277928.69,14163287.15,13046525.34,13046525.34,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,158021450.00,163551435.71,154920173.44,151581506.44,151581506.44,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,33089000.00,38947627.79,37459828.56,37178853.66,37178853.66,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Trabalho,251000.00,334155.33,329213.85,309942.79,309942.79,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,91577500.00,89092227.05,69178597.03,57338245.30,57338245.30,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,671381200.00,701954744.86,625526353.90,602363138.41,602363138.41,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2304285&no_anexo=RREO-Anexo%2002&co_poder=E
