Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,9195081.23,9705372.05,9694720.82,9660403.52,9660403.52,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2911006&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,2518979.00,2268878.89,2268477.89,2268477.89,2268477.89,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2911006&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,156000.00,140415.29,140415.29,140415.29,140415.29,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2911006&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,42478.26,7593.50,7593.50,7593.50,7593.50,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2911006&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,85000.00,134894.81,134894.81,134894.81,134894.81,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2911006&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,14327279.55,18055899.46,17793037.94,17745932.85,17745932.85,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2911006&no_anexo=RREO-Anexo%2002&co_poder=E
Essencial à Justiça,35000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2911006&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,0.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2911006&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,8913118.57,10758572.96,10753275.84,10753275.84,10753275.84,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2911006&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,8000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2911006&no_anexo=RREO-Anexo%2002&co_poder=E
Trabalho,8000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2911006&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,148631.20,21.68,21.68,21.68,21.68,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2911006&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,4393885.85,6422079.50,6412479.50,6412479.50,6412479.50,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2911006&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,39831453.66,47493728.14,47204917.27,47123494.88,47123494.88,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2911006&no_anexo=RREO-Anexo%2002&co_poder=E
