Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,7758272.46,8340712.46,7413466.50,2128885.90,2128885.90,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,1114333.08,94333.08,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,5632417.42,4418777.42,1627162.06,1380275.20,1380275.20,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Comunicações,950225.72,2225.72,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,1025969.74,289969.74,220000.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,592963.84,12963.84,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,20509872.90,28988312.04,28408082.30,20082430.90,20082430.90,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,174412.12,48412.12,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,366992.14,66992.14,60504.62,60504.62,60504.62,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,100833.80,12833.80,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,766206.48,10206.48,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,1722422.54,1520422.54,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,116630.46,630.46,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,1431472.20,11472.20,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,13062763.64,13770524.50,12701003.78,8411910.74,8411910.74,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,171025.48,4025.48,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,1004774.62,8774.62,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,1116190.86,16190.86,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,57617779.50,57617779.50,50430219.26,32064007.36,32064007.36,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2104701&no_anexo=RREO-Anexo%2002&co_poder=E
