Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,70688789.00,77931258.41,75566077.10,74847646.47,73153997.03,1693649.44,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3129806&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,210000.00,226832.00,226832.00,226832.00,226832.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3129806&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,16343493.04,23792806.44,22849456.30,22635306.47,22488731.20,146575.27,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3129806&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,255000.00,24650.00,24650.00,24650.00,24650.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3129806&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,1652179.69,2339035.28,2329535.28,2294339.30,2294339.30,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3129806&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,1670418.00,3685172.58,3685172.58,3443199.66,3443199.66,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3129806&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,145004968.02,180850773.40,178725691.71,173750054.44,164617774.73,9132279.71,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3129806&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,19363309.00,23175662.04,23175278.58,23175278.58,23175278.58,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3129806&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,18436506.58,28457606.21,27126633.60,25531933.60,25531933.60,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3129806&no_anexo=RREO-Anexo%2002&co_poder=E
Essencial à Justiça,2030075.00,1666664.59,1666567.64,1641567.64,1628036.50,13531.14,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3129806&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,401739.00,643867.92,295880.60,295880.60,295880.60,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3129806&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,15004300.00,14768312.73,10281.36,10281.36,10281.36,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3129806&no_anexo=RREO-Anexo%2002&co_poder=E
