Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,5249000.00,9150150.83,9071862.53,9071862.53,9071862.53,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,716000.00,580879.84,558146.41,558146.41,558146.41,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,2589000.00,2152097.16,2052899.40,2052899.40,2052899.40,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,35000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,300000.00,193000.00,188679.00,188679.00,188679.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,273000.00,374000.00,373866.08,373866.08,373866.08,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,15748700.00,24770065.19,24596371.29,24596371.29,24596371.29,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,452000.00,1171000.00,1157765.14,1157765.14,1157765.14,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,500000.00,659150.00,658691.72,658691.72,658691.72,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,270000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,125000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,1965000.00,1965000.00,1880322.08,1880322.08,1880322.08,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,250000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,880500.00,1500104.00,1486018.81,1486018.81,1486018.81,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,11057500.00,14891445.24,14800794.86,14800794.86,14800794.86,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,60000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,895000.00,443500.00,431831.55,431831.55,431831.55,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,3634300.00,4386313.20,4345844.53,4345844.53,4345844.53,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,45000000.00,62236705.46,61603093.40,61603093.40,61603093.40,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2913002&no_anexo=RREO-Anexo%2002&co_poder=E
