Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,7696000.00,10172181.95,10171953.67,10141953.67,10141953.67,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1302009&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,1215000.00,1015576.28,1015550.05,1015550.05,1015550.05,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1302009&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,1836200.00,3974573.29,3974291.03,3974291.03,3974291.03,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1302009&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,312000.00,1338204.00,1338173.00,1338173.00,1338173.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1302009&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,585000.00,618670.00,618648.98,618648.98,618648.98,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1302009&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,20330405.00,18563074.26,18556418.29,17920618.29,17920618.29,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1302009&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,925630.00,554788.00,553853.83,553853.83,553853.83,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1302009&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,130000.00,11.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1302009&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,1874000.00,1874000.00,1831076.90,1822817.03,1822817.03,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1302009&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,1491000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1302009&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,837330.00,773098.89,773058.27,729800.67,729800.67,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1302009&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,7775000.00,13972080.41,13971885.63,13971885.63,13971885.63,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1302009&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,55000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1302009&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,295655.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1302009&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,4338010.00,12467390.43,12466983.92,12435571.98,12435571.98,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1302009&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,49696230.00,65323648.51,65271893.57,64523164.16,64523164.16,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1302009&no_anexo=RREO-Anexo%2002&co_poder=E
