Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,17202400.00,17881900.00,17098361.88,17098361.88,17098361.88,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3523602&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,3232910.00,5090691.37,3929763.03,3162990.45,3162990.45,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3523602&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,1859800.00,4393362.77,3931288.92,3351106.54,3351106.54,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3523602&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,107600.00,396175.12,228800.87,211800.87,211800.87,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3523602&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,1656000.00,2917001.00,2284568.90,1927134.91,1927134.91,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3523602&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,39007690.00,45457671.96,39163265.69,34431700.15,34431700.15,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3523602&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,1198900.00,1198900.00,1179846.14,1179846.14,1179846.14,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3523602&no_anexo=RREO-Anexo%2002&co_poder=E
Essencial à Justiça,1492800.00,1607800.00,1397714.14,1397714.14,1397714.14,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3523602&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,321000.00,513000.00,244888.50,244888.50,244888.50,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3523602&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,3900000.00,3900000.00,3283449.86,3283449.86,3283449.86,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3523602&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,1220000.00,488460.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3523602&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,4718000.00,17713850.09,14974542.82,5249751.69,5249751.69,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3523602&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,31021200.00,40370040.21,34195226.25,34006375.29,34006375.29,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3523602&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,2169000.00,2158000.00,1931379.73,1931379.73,1931379.73,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3523602&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,12892700.00,17587361.12,14197191.32,13088913.33,13088913.33,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3523602&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,122000000.00,161674213.64,138040288.05,120565413.48,120565413.48,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3523602&no_anexo=RREO-Anexo%2002&co_poder=E
