Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,16810000.00,27035067.51,26268233.78,24737257.00,24737257.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,3400000.00,4833355.22,4733801.48,3928111.99,3928111.99,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Ciência e Tecnologia,60000.00,58869.00,46009.00,2969.00,2969.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,1000000.00,1077061.14,1026461.14,982461.13,982461.13,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,160000.00,115384.02,114800.02,10300.02,10300.02,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,200000.00,120000.00,115738.51,102158.51,102158.51,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,6090000.00,8634809.85,8529072.64,8173819.24,8173819.24,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,150000.00,568000.00,567542.89,567542.89,567542.89,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,100000.00,983654.47,983654.47,983654.47,983654.47,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Essencial à Justiça,600000.00,528410.00,515332.00,504572.00,504572.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,600000.00,1115072.20,1095734.52,593851.98,593851.98,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,300000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Indústria,180000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,2750000.00,2862060.56,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,2700000.00,2700000.00,2628950.06,2628204.86,2628204.86,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,500000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,300000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,9760000.00,12103857.17,11824414.25,11385329.82,11385329.82,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
Trabalho,300000.00,653000.00,640761.80,640761.80,640761.80,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5005103&no_anexo=RREO-Anexo%2002&co_poder=E
