ano,competencia,tipo_transferencia,modalidade_transferencia,orgao_superior_codigo,orgao_superior_nome,unidade_gestora_codigo,unidade_gestora_nome,funcao_id,funcao_descricao,acao_id,acao_descricao,valor_transferido,municipio_ibge,municipio_nome,fonte_api
2017,2017-12,Não se aplica,NORMAL,36000,Ministério da Saúde,257001,DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE,10,Saúde,861306,FOMENTAR A PESQUISA EM SAUDE SEGUNDO A AGENDA NACIONAL DE PRIORIDADES DE PESQUISA EM SAUDE - ANPPS,132544.0,3525904,JUNDIAÍ,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2017,2017-12,Não se aplica,NORMAL,36000,Ministério da Saúde,257001,DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE,10,Saúde,848680,AQUISICAO DE EQUIPAMENTO E MATERIAL PERMANENTE,34072.3,3525904,JUNDIAÍ,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2017,2017-10,Não se aplica,NORMAL,56000,Ministério das Cidades,175004,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,15,Urbanismo,845049,Implantacao de Ecopontos na regiao Leste do Municipio de Jundiai e aquisicao de dois caminhoes.,631000.0,3525904,JUNDIAÍ,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2017,2017-12,Não se aplica,PRESTAÇÃO DE CONTAS EM COMPLEMENTAÇÃO,36000,Ministério da Saúde,257001,DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE,10,Saúde,850702,AQUISICAO DE EQUIPAMENTO E MATERIAL PERMANENTE,92557.0,3525904,JUNDIAÍ,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2017,2017-10,Não se aplica,NORMAL,56000,Ministério das Cidades,175004,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,15,Urbanismo,845050,Implantacao de Ecopontos no Municipio de Jundiai (Regiao Oeste e Regiao Norte) e Aquisicao de 02 caminhoes.,632400.0,3525904,JUNDIAÍ,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2017,2017-12,Não se aplica,PRESTAÇÃO DE CONTAS APROVADA,55000,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",330013,FUNDO NACIONAL DE ASSISTENCIA SOCIAL,08,Assistência social,863687,ESTRUTURACAO DA REDE DE SERVICOS DE PROTECAO SOCIAL ESPECIAL  AQUISICAO DE BENS,350000.0,3525904,JUNDIAÍ,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2017,2017-10,Não se aplica,NORMAL,56000,Ministério das Cidades,175004,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,15,Urbanismo,846562,Implantacao de Ecoponto na Regiao Sul do Municipio de Jundiai e aquisicao de 01 caminhao para o Ecoponto.,314800.0,3525904,JUNDIAÍ,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2017,2017-11,Não se aplica,NORMAL,36000,Ministério da Saúde,257001,DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE,10,Saúde,848617,AQUISICAO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENCAO ESPECIALIZADA EM SAUDE,2871639.4,3525904,JUNDIAÍ,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2017,2017-12,Não se aplica,NORMAL,56000,Ministério das Cidades,175004,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,15,Urbanismo,862373,Reabilitacao de area publica no municipio de Jundiai.,245850.0,3525904,JUNDIAÍ,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2017,2017-12,Não se aplica,NORMAL,36000,Ministério da Saúde,257001,DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE,10,Saúde,861307,FOMENTAR A PESQUISA EM SAUDE SEGUNDO A AGENDA NACIONAL DE PRIORIDADES DE PESQUISA EM SAUDE - ANPPS,360399.0,3525904,JUNDIAÍ,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2017,2017-10,Não se aplica,NORMAL,51000,Ministério do Esporte,180006,CEF/MINISTERIO DO ESPORTE,27,Desporto e lazer,843664,Construcao de pista de skate no Municipio de Jundiai.,292500.0,3525904,JUNDIAÍ,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2017,2017-11,Não se aplica,NORMAL,36000,Ministério da Saúde,257001,DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE,-1,Sem informação,851208,AQUISICAO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENCAO ESPECIALIZADA EM SAUDE,361890.61,3525904,JUNDIAÍ,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2017,2017-12,Não se aplica,NORMAL,36000,Ministério da Saúde,257001,DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE,10,Saúde,848679,AQUISICAO DE EQUIPAMENTO E MATERIAL PERMANENTE,98233.29,3525904,JUNDIAÍ,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
