Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,18011422.37,29899142.61,27423060.35,27423060.35,22077400.81,5345659.54,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,3886715.00,5381715.00,2336741.82,2336741.82,2336741.82,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,9270232.09,10191232.09,7878644.34,7859542.19,7859542.19,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,1012190.50,1232190.50,626092.16,626092.16,626092.16,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,872960.50,892960.50,491256.84,491256.84,491256.84,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,1188651.00,1391651.00,1042255.51,1042255.51,1042255.51,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Direitos da Cidadania,1081766.63,301766.63,112026.39,112026.39,112026.39,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,67896000.00,71803000.00,52144849.04,52095485.04,52095485.04,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,2678580.00,2678580.00,1638144.47,1638144.47,1638144.47,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,2238705.00,1488705.00,867169.35,867169.35,867169.35,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,547515.00,457515.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,2132150.80,2137430.56,2137430.48,2137430.48,2137430.48,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,10060000.00,10060000.00,9141144.91,9141084.58,9141084.58,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,1242000.00,1242000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,36605933.00,39435933.00,37956670.19,37956670.19,37956670.19,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,863875.00,1283875.00,1106630.11,1106630.11,1106630.11,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,5202568.11,6043568.11,4700273.99,4700273.99,4700273.99,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,24681735.00,17581735.00,12923761.18,12923761.18,12923761.18,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,189473000.00,203503000.00,162526151.13,162457624.65,157111965.11,5345659.54,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2704005&no_anexo=RREO-Anexo%2002&co_poder=E
