Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,4682482.00,5148506.08,4780323.21,4680918.85,4680918.85,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,2755072.00,2344588.15,2121038.15,2086061.08,2086061.08,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,2527374.00,2744287.26,2507083.11,2479623.38,2479623.38,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,955700.00,427336.66,369783.35,368000.15,368000.15,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,292260.00,751082.06,701103.31,500236.01,500236.01,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,1394020.00,1490997.94,1073927.46,1046462.42,1046462.42,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,24419800.00,28517915.00,26480763.05,26320879.54,26320879.54,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,2616000.00,3318687.57,3318413.05,2951253.52,2951253.52,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,320520.00,517120.00,499526.42,485585.58,485585.58,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,607820.00,525435.00,473922.66,468572.47,468572.47,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,80000.00,7318.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,2350000.00,2650000.00,2313870.21,1886629.57,1886629.57,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,998671.00,191.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,204000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,15938186.00,18039469.34,17130077.93,16352586.10,16352586.10,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,10000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,5654564.00,6051141.59,5606753.89,5532202.94,5532202.94,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,65806469.00,72534075.65,67376585.80,65159011.61,65159011.61,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2406502&no_anexo=RREO-Anexo%2002&co_poder=E
