Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,280200000.00,400674859.05,377254964.96,345192406.00,305690946.00,39501460.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4113700&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,20936000.00,24543010.64,15702550.84,13094970.89,11870358.16,1224612.73,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4113700&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,128176000.00,120807500.96,118335759.02,114674410.39,106468894.04,8205516.35,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4113700&no_anexo=RREO-Anexo%2002&co_poder=E
Ciência e Tecnologia,566000.00,560301.98,544261.69,544261.69,543261.69,1000.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4113700&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,2956000.00,2925353.07,2676253.70,2170888.40,2160305.81,10582.59,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4113700&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,18015000.00,23040820.31,21773475.46,15895151.56,14400499.68,1494651.88,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4113700&no_anexo=RREO-Anexo%2002&co_poder=E
Defesa Nacional,317000.00,208228.74,208228.74,191017.68,191017.68,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4113700&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,17631000.00,14901500.00,14315994.20,12639639.77,12191387.09,448252.68,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4113700&no_anexo=RREO-Anexo%2002&co_poder=E
Direitos da Cidadania,33968000.00,37105034.40,33353211.41,32573218.92,30301402.62,2271816.30,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4113700&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,944118000.00,1035540499.83,991993071.55,960612131.92,745277555.12,215334576.80,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4113700&no_anexo=RREO-Anexo%2002&co_poder=E
