Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,5138000.00,6073415.17,5460152.54,5440152.54,5440152.54,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,702000.00,576125.15,200849.62,200849.62,200849.62,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,2215000.00,2233554.92,1128829.03,1128829.03,1128829.03,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,2982000.00,2598126.67,1600878.48,1600878.48,1600878.48,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,235000.00,190909.37,72159.37,72159.37,72159.37,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,27994000.00,27114737.85,24218180.42,24204914.17,24204914.17,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,2317000.00,3094309.05,3037657.63,3037657.63,3037657.63,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,185000.00,178608.04,86960.02,86960.02,86960.02,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,53000.00,33000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,44000.00,24000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
Judiciária,110000.00,90000.00,33008.00,33008.00,33008.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,2101000.00,2101000.00,1837872.92,1829461.44,1829461.44,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,142000.00,106000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,358000.00,71894.27,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,13296000.00,14194577.72,12752405.99,12749776.39,12749776.39,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,5128000.00,4816208.36,3368507.76,3368507.76,3368507.76,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,63000000.00,63496466.57,53797461.78,53753154.45,53753154.45,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2919900&no_anexo=RREO-Anexo%2002&co_poder=E
