Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,6327426.00,10760323.37,10260133.49,10260133.49,10260133.49,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,504030.00,1485066.84,1480723.36,1480723.36,1480723.36,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,7606405.00,7860569.82,7678836.13,7678836.13,7655224.76,23611.37,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,396900.00,2104248.00,2062265.80,1862265.80,1862265.80,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,91450.00,127550.00,126545.73,126545.73,126545.73,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,44780382.00,39629524.59,38695201.42,38225702.42,34011899.18,4213803.24,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,2441488.00,3484104.00,3246821.44,3246821.44,2775483.72,471337.72,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,10000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,85000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,98510.00,1610.00,1100.00,1100.00,1100.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,3500000.00,3448700.00,2987836.96,2987836.99,2964481.48,23355.51,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,7863500.00,7843500.00,7755781.59,7755781.59,7755781.59,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,1500000.00,304500.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,380000.00,244181.00,244179.64,244179.64,244179.64,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,17236293.00,34415210.57,32884621.19,32884621.19,32007046.05,877575.14,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,342610.00,2120489.00,2072098.12,2072098.12,2072098.12,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,1876574.00,1960079.00,1882320.16,1882320.16,1882320.16,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,95040568.00,115789656.19,111378465.03,110708966.06,105099283.08,5609682.98,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2609154&no_anexo=RREO-Anexo%2002&co_poder=E
