Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,12630301.00,19122923.86,18846368.82,18194719.40,18194719.40,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3203346&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,1505800.00,2061829.36,2058294.70,2049217.26,2049217.26,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3203346&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,3340500.00,3890109.52,3191240.54,3088128.67,3088128.67,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3203346&no_anexo=RREO-Anexo%2002&co_poder=E
Ciência e Tecnologia,35000.00,14273.11,11786.40,11786.40,11786.40,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3203346&no_anexo=RREO-Anexo%2002&co_poder=E
Comunicações,3500.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3203346&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,1205000.00,1336201.56,1326316.50,1319955.52,1319955.52,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3203346&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,397000.00,84573.68,72326.99,66819.84,66819.84,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3203346&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,997500.00,719235.74,674757.39,667704.29,667704.29,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3203346&no_anexo=RREO-Anexo%2002&co_poder=E
Direitos da Cidadania,120000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3203346&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,24817603.00,31218777.88,30264373.33,30026698.74,30026698.74,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3203346&no_anexo=RREO-Anexo%2002&co_poder=E
