ano,municipio_ibge,municipio_nome,localidade_do_gasto_raw,numero_emenda,autor,partido,uf_autor,tipo_emenda,funcao,subfuncao,valor_empenhado,valor_liquidado,valor_pago,fonte_api
2017,2509107,Mari,SANTA MARIA DO TOCANTINS - TO,S/I,Sem informação,,,Emenda de Bancada,Assistência social,Assistência comunitária,"100.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2017,2509107,Mari,SALDANHA MARINHO - RS,S/I,Sem informação,,,Emenda de Relator,Saúde,Administração geral,"10,00","10,00","10,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2017,2509107,Mari,MÁRIO CAMPOS - MG,S/I,Sem informação,,,Emenda de Relator,Saúde,Administração geral,"10,00","10,00","10,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2017,2509107,Mari,MARIÁPOLIS - SP,S/I,Sem informação,,,Emenda de Relator,Saúde,Administração geral,"100.000,00","100.000,00","100.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2017,2509107,Mari,SANTA MARIA DO OESTE - PR,S/I,Sem informação,,,Emenda de Relator,Agricultura,Promoção da produção agropecuária,"126.750,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2017,2509107,Mari,SANTA MARIA DO PARÁ - PA,S/I,Sem informação,,,Emenda de Relator,Saúde,Administração geral,"163.000,00","163.000,00","163.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2017,2509107,Mari,CUMARI - GO,S/I,Sem informação,,,Emenda de Relator,Agricultura,Promoção da produção agropecuária,"175.500,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2017,2509107,Mari,SANTA MARIA DAS BARREIRAS - PA,S/I,Sem informação,,,Emenda de Bancada,Saúde,Saneamento básico urbano,"18,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2017,2509107,Mari,SANTA MARIA DAS BARREIRAS - PA,S/I,Sem informação,,,Emenda de Relator,Desporto e lazer,Desporto comunitário,"195.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2017,2509107,Mari,MARICÁ - RJ,201728810011,LINDBERGH FARIAS,,,Emenda Individual - Transferências com Finalidade Definida,Cultura,Difusão cultural,"199.775,92","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2017,2509107,Mari,SANTA MARIA - RN,S/I,Sem informação,,,Emenda de Relator,Saúde,Administração geral,"20,00","20,00","20,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2017,2509107,Mari,SANTA MARIA DO SUAÇUÍ - MG,S/I,Sem informação,,,Emenda de Relator,Saúde,Administração geral,"20,00","20,00","20,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2017,2509107,Mari,MARIBONDO - AL,S/I,Sem informação,,,Emenda de Relator,Saúde,Administração geral,"210.000,00","210.000,00","210.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2017,2509107,Mari,PEDRAS DE MARIA DA CRUZ - MG,201714080013,PATRUS ANANIAS,,,Emenda Individual - Transferências com Finalidade Definida,Urbanismo,Assistência comunitária,"222.176,68","5.725,98","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2017,2509107,Mari,SANTA MARIA DO PARÁ - PA,REL. GERAL,RELATOR GERAL,,,Emenda de Comissão,Desporto e lazer,Desporto de rendimento,"243.750,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
