Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,5570000.00,7517823.25,7223545.53,6700062.81,6700062.81,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,238000.00,30000.00,6000.00,6000.00,6000.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,2476000.00,2563000.00,1695511.71,1672901.63,1672901.63,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,160000.00,207500.00,149719.00,149719.00,149719.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,1258000.00,2679681.96,2612515.25,2611148.47,2611148.47,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
Direitos da Cidadania,220000.00,220000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,10605000.00,11287000.00,6703481.23,6158586.39,6158586.39,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,594000.00,501113.80,454506.70,317127.70,317127.70,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,290000.00,110000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
Indústria,20000.00,10000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,2639000.00,2639000.00,1562405.27,1562405.27,1562405.27,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,700000.00,437000.00,428213.07,428213.07,428213.07,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,100000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,13632000.00,16066099.63,9820506.33,9375119.92,9375119.92,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,58000.00,23786.94,11805.35,11805.35,11805.35,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,2827000.00,3211018.34,3143343.19,3142596.29,3142596.29,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,4981000.00,1215611.51,981974.46,978096.96,978096.96,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,46368000.00,48718635.43,34793527.09,33113782.86,33113782.86,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5212907&no_anexo=RREO-Anexo%2002&co_poder=E
