Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,45788514.00,46409827.97,46385031.68,45181403.98,45042994.84,138409.14,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,1415958.00,2826398.01,2826380.44,2819746.62,2807746.64,11999.98,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,22704825.99,22421780.12,21310913.21,20791482.41,20787845.03,3637.38,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Ciência e Tecnologia,3411486.00,3036619.71,3028107.51,2758106.73,2758106.73,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Comunicações,2557838.00,4426473.53,4426473.49,4107090.95,4107090.95,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,472561.00,358332.45,346985.73,342583.93,342583.93,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,6848809.00,7172259.76,6629775.68,6292842.65,6292842.65,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Defesa Nacional,191100.00,106976.42,100519.30,93126.83,91937.82,1189.01,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,7792132.00,17364965.42,11894607.79,10940179.34,10940179.34,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,235731716.99,270672272.59,252073221.63,247122199.01,247023032.23,99166.78,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,26775819.00,40039946.74,39558090.24,39553438.73,39553438.73,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Essencial à Justiça,4885857.00,6297757.78,6297756.23,6266788.56,6266788.56,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,21826789.00,17226273.88,17180531.25,15140142.37,15140142.37,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,766051.00,1509173.44,1359756.96,1279941.43,1279941.43,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Judiciária,663700.00,510486.10,510485.94,501809.04,500438.72,1370.32,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,9330000.00,9330000.00,9186459.56,9186459.56,9186459.56,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,868163.04,938163.04,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,60204737.00,72654604.15,71127183.91,67968636.06,67968636.06,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,164629045.99,272542056.75,249583932.33,236161713.52,236158395.32,3318.20,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,19205697.00,21311327.08,19849834.88,19180341.50,19175733.94,4607.56,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Trabalho,163900.00,82033.52,82031.44,79060.68,77807.47,1253.21,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,2289000.00,1768827.69,1768827.67,1768827.67,1768827.67,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,102713885.99,134094161.62,116190267.91,97106433.08,97106433.08,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3530706&no_anexo=RREO-Anexo%2002&co_poder=E
