Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,4025000.00,4261530.00,4174792.72,4174792.72,4174792.72,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,3190000.00,5604288.85,5235245.90,5235245.90,5235245.90,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,2340000.00,3395515.51,3034044.80,3034044.80,3034044.80,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,200000.00,748170.00,739558.21,739558.21,739558.21,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,360000.00,1160000.00,1141741.90,1119634.84,1119634.84,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,850000.00,2391000.00,1557709.97,1126841.33,1126841.33,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,11920000.00,16817300.01,16044501.81,15504953.84,15504953.84,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,1840000.00,2465560.35,2404375.00,2404375.00,2404375.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,60000.00,91500.00,91267.00,91267.00,91267.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,200000.00,38500.00,38359.67,38359.67,38359.67,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Indústria,750000.00,930700.00,728844.74,589844.74,589844.74,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,1200000.00,1215000.00,1036333.39,1036333.39,1036333.39,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,260000.00,271400.00,270440.62,270440.62,270440.62,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,30000.00,30000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,250000.00,521000.00,510591.03,510591.03,510591.03,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,9600000.00,14678463.60,13835072.07,13835072.07,13835072.07,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,445000.00,822000.00,658997.68,658997.68,658997.68,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,3450000.00,6677078.27,6508034.54,5888034.54,5888034.54,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4211009&no_anexo=RREO-Anexo%2002&co_poder=E
