Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,5358132.62,5739020.95,5642613.99,5561793.22,4245778.07,1316015.15,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,1446209.79,1848840.78,1454175.52,1451875.52,1451875.52,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,1360807.75,1897992.30,1589146.22,1580010.42,1580010.42,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,57000.00,41560.61,38525.64,38525.64,38525.64,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,338000.00,425716.50,384676.24,370301.24,370301.24,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,560000.00,503409.00,453106.26,453106.26,453106.26,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,6913138.20,8760026.74,7981817.61,7973586.96,6830588.53,1142998.43,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,510000.00,590000.00,514665.14,514665.14,385333.25,129331.89,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,0.00,4999.20,4999.20,4999.20,4999.20,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,990000.00,990000.00,925574.84,925574.84,779348.90,146225.94,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,5800000.00,5800000.00,5199832.43,5199832.43,5199832.43,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,80000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,575000.00,558000.00,518544.08,518544.08,518544.08,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,7582401.51,10865769.61,9692512.34,9609792.83,8712768.76,897024.07,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,725000.00,751230.00,653904.96,653904.96,653904.96,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,1430788.83,3311911.48,3179385.76,2845064.10,2845064.10,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,33726478.70,42088477.17,38233480.23,37701576.84,34069981.36,3631595.48,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3531605&no_anexo=RREO-Anexo%2002&co_poder=E
