Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,14385000.00,13530743.44,12551698.17,12517467.50,12517467.50,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,100000.00,11000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,3886000.00,4865999.72,4423146.87,4415241.52,4415241.52,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,56000.00,4003.10,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,1765000.00,4006578.74,3613533.83,3613533.83,3613533.83,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,214000.00,214207.64,136178.82,136178.82,136178.82,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,50134000.00,64906313.13,51979390.04,51939871.58,51939871.58,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,2639000.00,2013189.55,1995627.65,1995627.65,1995627.65,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,64000.00,64000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,73000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
Judiciária,221000.00,231500.00,220500.00,220500.00,220500.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,3020000.00,3020000.00,2514753.93,2514753.93,2514753.93,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,200000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,1563000.00,2026215.50,1970460.27,1970460.27,1970460.27,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,17185000.00,18195025.58,17330699.29,17219879.85,17219879.85,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,7495000.00,13041161.45,8392645.62,8345852.68,8345852.68,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,103000000.00,126129937.85,105128634.49,104889367.63,104889367.63,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2922607&no_anexo=RREO-Anexo%2002&co_poder=E
