Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,80914577.14,95331850.31,94303234.89,92217467.43,92217467.43,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2804805&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,2721000.00,2431702.73,2431702.73,2431702.73,2431702.73,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2804805&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,26692428.57,28710178.57,28063101.81,27458558.13,27458558.13,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2804805&no_anexo=RREO-Anexo%2002&co_poder=E
Comunicações,2350000.00,3095028.17,3095028.17,3061626.16,3061626.16,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2804805&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,1049000.00,937369.52,937369.52,937369.52,937369.52,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2804805&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,5441000.00,5027874.07,5027815.79,3891319.47,3891319.47,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2804805&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,4284428.57,1643751.33,1626243.33,1626243.33,1626243.33,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2804805&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,187400500.00,172537624.49,172537624.19,171329007.20,171329007.20,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2804805&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,7000000.00,10004410.90,10004410.90,10004410.90,10004410.90,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2804805&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,12389000.00,13584982.27,13584982.27,13584982.27,13584982.27,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2804805&no_anexo=RREO-Anexo%2002&co_poder=E
