ano,municipio_codigo_sefaz_sp,municipio_nome,periodo_tipo,mes,mes_numero,icms,ipva,fund_exp_ipi,compensacoes,total,fonte_url,data_coleta_utc
2020,5137,Paulinia,mensal,Janeiro,1,64615319.92,11469299.73,511717.13,176158.70,76772495.47,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:14.660442+00:00
2020,5137,Paulinia,mensal,Fevereiro,2,66095043.04,4880841.45,422683.96,213808.67,71612377.12,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:14.660442+00:00
2020,5137,Paulinia,mensal,Março,3,76184380.27,4058598.58,458398.62,230369.67,80931747.14,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:14.660442+00:00
2020,5137,Paulinia,mensal,Abril,4,51463323.92,673943.12,418090.29,200001.72,52755359.05,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:14.660442+00:00
2020,5137,Paulinia,mensal,Maio,5,50587002.83,688308.73,350523.38,133705.00,51759539.93,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:14.660442+00:00
2020,5137,Paulinia,mensal,Junho,6,61716861.04,1513053.64,366025.21,78208.09,63674147.98,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:14.660442+00:00
2020,5137,Paulinia,mensal,Julho,7,54709570.66,973149.51,401702.25,141289.43,56225711.85,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:14.660442+00:00
2020,5137,Paulinia,mensal,Agosto,8,65603195.39,1295864.37,435815.25,290914.16,67625789.17,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:14.660442+00:00
2020,5137,Paulinia,mensal,Setembro,9,76661952.22,1514488.72,587487.11,201072.80,78965000.86,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:14.660442+00:00
2020,5137,Paulinia,mensal,Outubro,10,74205952.48,1166517.59,646758.47,231138.52,76250367.06,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:14.660442+00:00
2020,5137,Paulinia,mensal,Novembro,11,68533513.32,1005798.06,626196.78,137440.91,70302949.07,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:14.660442+00:00
2020,5137,Paulinia,mensal,Dezembro,12,98349096.54,1547563.02,789079.98,167615.78,100853355.32,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:14.660442+00:00
2020,5137,Paulinia,total_anual,Total,99,808725211.63,30787426.52,6014478.41,2201723.45,847728840.02,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:14.660442+00:00
