Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,216329319.00,262200254.64,231960546.15,226340269.25,226340269.25,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3304904&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,48000.00,12000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3304904&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,48742559.00,71523199.23,47139991.90,44674369.18,44674369.18,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3304904&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,92000.00,5200.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3304904&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,1266970.00,1991702.89,1535721.70,1535721.70,1535721.70,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3304904&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,17809000.00,17986988.03,3342973.29,3233815.51,3233815.51,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3304904&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,524952624.00,588632848.87,544965015.39,544544183.74,509570943.68,34973240.06,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3304904&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,217355504.00,129061630.30,114846440.78,111646381.80,111646381.80,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3304904&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,140324253.00,186343800.67,135501832.87,131818903.35,131818903.35,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3304904&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,12750.00,12750.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3304904&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,26677000.00,29462601.38,29385204.93,29046919.54,29046919.54,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3304904&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,285453263.00,430234840.93,310614832.38,310281793.79,296565302.20,13716491.59,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3304904&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,2000000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3304904&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,153000.00,1000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3304904&no_anexo=RREO-Anexo%2002&co_poder=E
