Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,589256500.00,593234604.15,307519033.45,161853053.45,147138241.35,14714812.10,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,61915000.00,62599736.30,49142895.22,11422068.80,11387622.39,34446.41,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,45600700.00,50825354.76,35035910.20,17236437.48,17173537.25,62900.23,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Ciência e Tecnologia,35844600.00,31380412.54,5677939.54,849489.56,816807.36,32682.20,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Comunicações,9200000.00,9193567.04,6138171.89,4243933.28,4243774.88,158.40,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,4968000.00,5021173.75,2980831.54,1030433.82,1008661.15,21772.67,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,10454000.00,23624986.06,13203103.18,11037602.82,11006833.22,30769.60,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Defesa Nacional,283800.00,343800.00,206513.73,79012.73,76511.69,2501.04,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,19744000.00,20848000.00,15450928.96,8236017.57,7420805.13,815212.44,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Direitos da Cidadania,363000.00,2894000.00,733638.11,229531.08,228107.98,1423.10,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,733396000.00,791571073.70,356848805.74,233486134.63,205973278.13,27512856.50,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,258418540.00,577218540.00,92124026.35,88331355.74,69697540.58,18633815.16,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,98917000.00,98972000.00,43453473.04,29017719.75,8441902.20,20575817.55,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,8659000.00,9334951.84,3952219.81,3186495.38,3183309.42,3185.96,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,61535000.00,61535000.00,25002098.14,16802874.62,15419045.01,1383829.61,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,334905000.00,334905000.00,300102774.43,97717176.12,97717176.12,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,2500000.00,2500000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,350577460.00,415997460.00,180317175.10,53289128.31,53289128.31,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,769730700.00,790641134.86,425927679.81,251351093.50,241752753.38,9598340.12,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,7002000.00,8094195.14,3935412.19,1182573.92,1155012.59,27561.33,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Trabalho,4292000.00,4961182.39,3756267.53,1642971.03,1641020.61,1950.42,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,82026000.00,91640837.11,70227564.96,27310647.08,27221611.31,89035.77,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,212172100.00,241326771.59,94016352.85,28231007.87,28209295.79,21712.08,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,3701760400.00,4228663781.23,2035752815.77,1047766758.54,954201975.85,93564782.69,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2026&nr_periodo=2&co_tipo_demonstrativo=RREO&id_ente=3549805&no_anexo=RREO-Anexo%2002&co_poder=E
