Categoria,Cod_Conta,Previsto_Inicial,Previsto_Atualizado,Arrecadado_Bimestre,Arrecadado_Acumulado,Fonte_URL
Total de Receitas,TotalReceitas,35679308.80,35679308.80,6317971.70,34548826.60,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4217105&no_anexo=RREO-Anexo%2001
Receitas Exceto Intra-Orçamentárias,ReceitasExcetoIntraOrcamentarias,35679308.80,35679308.80,6317971.70,34548826.60,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4217105&no_anexo=RREO-Anexo%2001
Receitas Correntes,ReceitasCorrentes,31429050.10,31429050.10,5967971.70,30987890.82,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4217105&no_anexo=RREO-Anexo%2001
Receita Tributária,ReceitaTributaria,2416828.18,2416828.18,374254.56,2090805.87,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4217105&no_anexo=RREO-Anexo%2001
Impostos,Impostos,1919495.26,1919495.26,365216.68,1913844.42,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4217105&no_anexo=RREO-Anexo%2001
Taxas,Taxas,497332.92,497332.92,9037.88,176961.45,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4217105&no_anexo=RREO-Anexo%2001
Receita de Contribuições,ReceitaDeContribuicoes,326457.91,326457.91,48239.74,291067.92,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4217105&no_anexo=RREO-Anexo%2001
Receita Patrimonial,ReceitaPatrimonial,926713.54,926713.54,115481.29,1125708.17,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4217105&no_anexo=RREO-Anexo%2001
Receita de Serviços,ReceitaDeServicos,575809.75,575809.75,41484.29,190802.34,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4217105&no_anexo=RREO-Anexo%2001
Transferências Correntes,TransferenciasCorrentes,26981552.62,26981552.62,5293092.78,27137225.27,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4217105&no_anexo=RREO-Anexo%2001
Transferências da União,TransferenciasCorrentesDaUniaoEDeSuasEntidades,15707311.59,15707311.59,3369521.78,15089888.25,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4217105&no_anexo=RREO-Anexo%2001
Transferências dos Estados,TransferenciasCorrentesDosEstadosEDoDistritoFederalEDeSuasEntidades,8520258.34,8520258.34,1385220.06,8958999.34,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4217105&no_anexo=RREO-Anexo%2001
Transferências de Outras Inst. Públicas,TransferenciasCorrentesDeOutrasInstituicoesPublicas,2752098.47,2752098.47,538350.94,3085842.09,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4217105&no_anexo=RREO-Anexo%2001
Outras Receitas Correntes,OutrasReceitasCorrentes,201688.10,201688.10,95419.04,152281.25,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4217105&no_anexo=RREO-Anexo%2001
Receitas de Capital,ReceitasDeCapital,4250258.70,4250258.70,350000.00,3560935.78,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4217105&no_anexo=RREO-Anexo%2001
