Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,25393990.00,35436355.03,33188220.11,31687596.07,31687596.07,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3550209&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,832000.00,1045211.69,929697.10,925109.10,925109.10,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3550209&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,5035929.06,7505252.99,6054491.40,5835292.64,5835292.64,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3550209&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,1756150.00,3663942.71,2960815.66,1747720.26,1747720.26,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3550209&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,763850.00,1448782.99,1439361.83,1356310.41,1356310.41,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3550209&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,1421500.00,1830190.66,1666911.30,1536955.14,1536955.14,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3550209&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,50992940.94,55086521.35,50640463.10,46769189.75,46769189.75,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3550209&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,405000.00,410587.59,332570.48,287570.48,287570.48,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3550209&no_anexo=RREO-Anexo%2002&co_poder=E
Judiciária,1783000.00,2339686.29,2028026.01,2025391.38,2025391.38,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3550209&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,2400000.00,2400000.00,1931382.74,1812921.41,1812921.41,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3550209&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,1320000.00,1320000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3550209&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,0.00,178951.37,178950.85,138850.41,138850.41,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3550209&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,39895640.00,45624523.96,42986959.42,41370133.18,41370133.18,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3550209&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,132000000.00,158290006.63,144337850.00,135493040.23,135493040.23,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3550209&no_anexo=RREO-Anexo%2002&co_poder=E
