Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,2468333.00,2591590.54,2571978.47,2571978.47,2571978.47,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,1256089.00,1692491.54,1692485.05,1692485.05,1692485.05,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,1769803.00,1418805.87,1417329.84,1417329.84,1417329.84,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,19562.00,19562.00,7520.00,7520.00,7520.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,326095.00,532844.55,512195.68,512195.68,512195.68,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,9830544.00,14774790.16,12458647.16,12075676.75,10355534.95,1720141.80,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,2682859.00,2595076.28,2587042.10,2477985.40,407888.82,2070096.58,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,34012.00,84240.00,71436.06,71436.06,71436.06,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,66965.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,1440000.00,1763008.00,1748096.83,1748096.83,1714206.89,33889.94,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,7588000.00,8131842.97,8020770.98,8001511.85,7596470.74,405041.11,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,120000.00,120000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,343495.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,12946525.00,16622612.08,16617265.54,16614701.54,15448836.69,1165864.85,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,13724.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,79921.00,34501.00,34500.00,34500.00,34500.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,2812073.00,3669485.58,3669384.60,3669384.60,3669384.60,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,43798000.00,54050850.57,51408652.31,50894802.07,45499767.79,5395034.28,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2515500&no_anexo=RREO-Anexo%2002&co_poder=E
