ano,municipio,tipo,codigo,especificacao,fiscal,seguridade,total,lei_numero,data_lei,fonte
2021,sorocaba,resumo,,Total LOA,2790117690.17,279237326.29,3067417016.46,12.272,21 DE DEZEMBRO DE 2020,LAI Sorocaba
2021,sorocaba,orgao,,SECR. DE IGUALDADE E ASSISTÊNCIA SOCIAL,,,249000.24,,,LAI Sorocaba
2021,sorocaba,orgao,,SECR. DA EDUCAÇÃO,,,583705687.3,,,LAI Sorocaba
2021,sorocaba,orgao,,SECR. DE ESPORTES E LAZER,,,19383838.59,,,LAI Sorocaba
2021,sorocaba,orgao,,SECR. DA FAZENDA,,,180950657.22,,,LAI Sorocaba
2021,sorocaba,orgao,,"SECR. DO MEIO AMBIENTE, PARQUES E",,,135000.0,,,LAI Sorocaba
2021,sorocaba,orgao,,JARDINS SECR. DA HABITAÇÃO E REGUL. FUNDIÁRIA,,,3757612.25,,,LAI Sorocaba
2021,sorocaba,orgao,,SECR. DA SAÚDE,,,543518903.63,,,LAI Sorocaba
2021,sorocaba,orgao,,SECR. DE RECURSOS HUMANOS,,,53862646.86,,,LAI Sorocaba
2021,sorocaba,orgao,,SECR. DE RELAÇÕES INST. E METROPOLITANAS,,,1901517.02,,,LAI Sorocaba
2021,sorocaba,orgao,,SECR. DE GOVERNO,,,4502191.4,,,LAI Sorocaba
2021,sorocaba,orgao,,SECR. JURÍDICA,,,28350094.38,,,LAI Sorocaba
2021,sorocaba,orgao,,SECR. DE ADMINISTRAÇÃO,,,25993145.47,,,LAI Sorocaba
2021,sorocaba,orgao,,SECR. DE PLANEJAMENTO,,,21444171.81,,,LAI Sorocaba
2021,sorocaba,orgao,,SECR. DA CIDADANIA,,,37793211.62,,,LAI Sorocaba
2021,sorocaba,orgao,,SECR. DE SERVIÇOS PÚBLICOS E OBRAS,,,169570262.84,,,LAI Sorocaba
2021,sorocaba,orgao,,SECR. DE CULTURA,,,15558132.49,,,LAI Sorocaba
2021,sorocaba,orgao,,"SECR. DE DESENV. ECONÔMICO, TRABALHO E",,,8303971.48,,,LAI Sorocaba
2021,sorocaba,orgao,,SECR. DO MEIO AMBIENTE E,,,20922807.71,,,LAI Sorocaba
2021,sorocaba,orgao,,SUSTENTABILIDADE SECR. DE MOBILIDADE E DESENV. ESTRATÉGICO,,,246282027.71,,,LAI Sorocaba
2021,sorocaba,orgao,,SECR. DE SEGURANCA URBANA,,,51398626.51,,,LAI Sorocaba
2021,sorocaba,orgao,,CONTROLADORIA GERAL DO MUNICÍPIO,,,4976628.24,,,LAI Sorocaba
2021,sorocaba,orgao,,SECR. DE COMUNICAÇÃO,,,3057183.97,,,LAI Sorocaba
2021,sorocaba,orgao,,SERVICO AUTONOMO DE ÁGUA E ESGOTO - SAAE,,,295523275.0,,,LAI Sorocaba
2021,sorocaba,orgao,,FUND. DE SEGURIDADE SOCIAL DE SOROCABA-PREVIDÊNCIA,,,366296000.0,,,LAI Sorocaba
2021,sorocaba,orgao,,URBES - EMPRESA DE DESENV.URBANO E SOCIAL SOROCABA,,,50599000.0,,,LAI Sorocaba
2021,sorocaba,orgao,,FUNDAÇÃO DE SEGURIDADE SOCIAL DE SOROCABA - SAÚDE,,,124410000.0,,,LAI Sorocaba
2021,sorocaba,orgao,,EMPRESA MUNICIPAL PARQUE TECNOLÓGICO DE SOROCABA,,,5640000.0,,,LAI Sorocaba
2021,sorocaba,funcao,01,LEGISLATIVA,,,59988000.0,,,LAI Sorocaba
2021,sorocaba,funcao,03,ESSENCIAL À JUSTIÇA,,,28350094.38,,,LAI Sorocaba
2021,sorocaba,funcao,04,ADMINISTRAÇÃO,,,374702626.47,,,LAI Sorocaba
2021,sorocaba,funcao,06,SEGURANÇA PÚBLICA,,,51468626.51,,,LAI Sorocaba
2021,sorocaba,funcao,08,ASSISÊNCIA SOCIAL,,,37623011.86,,,LAI Sorocaba
2021,sorocaba,funcao,09,PREVIDÊNCIA SOCIAL,,,366296000.0,,,LAI Sorocaba
2021,sorocaba,funcao,10,SAÚDE,,,552098303.63,,,LAI Sorocaba
2021,sorocaba,funcao,12,EDUCAÇÃO,,,596034152.3,,,LAI Sorocaba
2021,sorocaba,funcao,13,CULTURA,,,15716132.49,,,LAI Sorocaba
2021,sorocaba,funcao,14,DIREITOS DA CIDADANIA,,,1045743.1,,,LAI Sorocaba
2021,sorocaba,funcao,15,URBANISMO,,,375561238.49,,,LAI Sorocaba
2021,sorocaba,funcao,16,HABITAÇÃO,,,3757612.25,,,LAI Sorocaba
2021,sorocaba,funcao,17,SANEAMENTO,,,406282750.51,,,LAI Sorocaba
2021,sorocaba,funcao,18,GESTÃO AMBIENTAL,,,21057807.71,,,LAI Sorocaba
2021,sorocaba,funcao,19,CIÊNCIA E TECNOLOGIA,,,5640000.0,,,LAI Sorocaba
2021,sorocaba,funcao,23,COMÉRCIO E SERVIÇOS,,,8165971.48,,,LAI Sorocaba
2021,sorocaba,funcao,24,COMUNICAÇÕES,,,3057183.97,,,LAI Sorocaba
2021,sorocaba,funcao,26,TRANSPORTE,,,2018000.0,,,LAI Sorocaba
2021,sorocaba,funcao,27,DESPORTO E LAZER,,,19383838.59,,,LAI Sorocaba
