Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,11735598.00,16345998.00,16339446.51,16338043.51,16123608.03,214435.48,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1507904&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,842000.00,699300.00,699226.46,699226.46,699226.46,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1507904&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,2711000.00,2921000.00,2919107.32,2919107.32,2901850.08,17257.24,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1507904&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,155000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1507904&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,1377000.00,1708447.11,1707247.50,1707247.50,1682998.33,24249.17,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1507904&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,290000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1507904&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,47049400.00,49499200.00,49494768.69,49494768.69,45887943.25,3606825.44,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1507904&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,2345000.00,3016600.00,3016303.21,3016303.21,2135730.85,880572.36,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1507904&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,1885000.00,2057200.00,2057019.82,2057019.82,2057019.82,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1507904&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,22000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1507904&no_anexo=RREO-Anexo%2002&co_poder=E
