Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,3157000.00,3351033.00,3274007.88,3269007.88,3269007.88,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2931103&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,433000.00,1386450.00,1306261.83,1306261.83,1306261.83,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2931103&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,2559000.00,2059576.00,1792736.87,1790855.92,1790855.92,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2931103&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,396000.00,948500.00,943239.75,943239.75,943239.75,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2931103&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,886000.00,509414.00,469837.52,469837.52,469837.52,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2931103&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,13432000.00,15185439.27,12212251.56,12187813.15,12187813.15,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2931103&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,732000.00,979300.00,926421.23,926421.23,926421.23,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2931103&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,61000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2931103&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,987000.00,1124348.73,1124348.73,1124348.73,1124348.73,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2931103&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,298000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2931103&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,7243000.00,9640459.31,8698412.54,8691328.86,8691328.86,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2931103&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,6116000.00,5256577.00,4828128.96,4824628.96,4824628.96,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2931103&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,36300000.00,40441097.31,35575646.87,35533743.83,35533743.83,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2931103&no_anexo=RREO-Anexo%2002&co_poder=E
