Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,9759159.00,8005869.66,6946147.12,6866121.58,6516313.84,349807.74,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,4946000.00,2907692.14,2512561.10,2494651.94,2457498.80,37153.14,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,3881000.00,3197599.64,2220704.33,2217258.30,2149433.01,67825.29,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,10000.00,10000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,608400.00,1657014.50,1499098.33,1471148.33,1471148.33,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,975000.00,923248.49,874928.51,874572.33,864743.64,9828.69,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,22513200.00,24392927.66,23353761.12,23177231.93,21065018.86,2112213.07,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,700000.00,848217.95,830396.31,830396.31,830396.31,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,830000.00,848616.00,734617.84,734617.84,734617.84,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,161600.00,53100.00,31600.00,31600.00,31600.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,100000.00,13800.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Indústria,65000.00,131531.44,124917.42,124917.42,98213.31,26704.11,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Judiciária,230000.00,268097.72,266118.58,266118.58,236569.93,29548.65,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,2550000.00,2550000.00,2229416.80,2229416.80,2054442.47,174974.33,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,4969600.00,5651040.00,5497336.24,5497336.24,5477691.04,19645.20,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,331441.00,100001.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,2880000.00,3014136.97,2684365.39,2668018.65,2554772.79,113245.86,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,30971600.00,34784581.47,31981565.78,30554078.02,28650973.16,1903104.86,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,50000.00,48850.00,38725.81,38725.81,38725.81,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Trabalho,1525000.00,1134855.09,997265.77,997265.77,997141.88,123.89,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,6800000.00,3519757.26,3023985.80,1956041.85,1956041.85,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,15143000.00,16389063.01,15241131.87,15044555.66,14827629.63,216926.03,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,110000000.00,110450000.00,101088644.12,98074073.36,93012972.50,5061100.86,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=5108055&no_anexo=RREO-Anexo%2002&co_poder=E
