Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,6336050.00,8925160.22,8594903.52,8239242.90,8041396.49,197846.41,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1101609&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,767516.96,3527228.05,2543060.92,1095511.79,1095511.79,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1101609&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,852295.65,1609483.32,928968.86,925863.85,903598.30,22265.55,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1101609&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,23000.00,217507.40,217507.39,192766.71,192766.71,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1101609&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,86500.00,178835.72,174969.52,47187.68,47187.68,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1101609&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,12131554.05,17133293.97,16334057.62,16081338.65,14900518.12,1180820.53,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1101609&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,1071600.00,1160378.11,1160378.11,1160378.11,1160378.11,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1101609&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,587500.00,660290.20,589927.34,589927.34,589927.34,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1101609&no_anexo=RREO-Anexo%2002&co_poder=E
Judiciária,37200.00,21751.75,16848.21,16327.09,16327.09,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1101609&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,1428088.21,1575000.00,1420558.96,1416741.60,1396127.82,20613.78,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1101609&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,1390925.18,1976462.39,1676667.69,1676667.69,1673399.00,3268.69,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1101609&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,1204382.60,938.15,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1101609&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,7831166.91,18162389.44,15073650.26,12621019.86,12117634.74,503385.12,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1101609&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,1659306.79,9910378.56,8051886.20,5229250.20,5229250.20,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1101609&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,291500.00,3256783.25,1313113.23,388599.19,388599.19,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1101609&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,35698586.35,68315880.53,58096497.83,49680822.66,47752622.58,1928200.08,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=1101609&no_anexo=RREO-Anexo%2002&co_poder=E
