Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,12943000.00,17206481.47,17197394.82,17197394.82,16592141.16,605253.66,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,3615000.00,2715762.47,2706601.97,2706601.97,2628593.68,78008.29,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,6709000.00,5324405.93,5320283.35,5320283.35,5241711.85,78571.50,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,110000.00,81200.00,81103.26,81103.26,81103.26,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,1623630.00,5785813.20,5780661.59,5780661.59,5743859.74,36801.85,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,320000.00,72860.00,71594.99,71594.99,71594.99,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Direitos da Cidadania,35000.00,100.00,56.16,56.16,56.16,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,69364000.00,57929846.44,57929146.56,57929146.56,52886980.57,5042165.99,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,4458000.00,5991879.02,5668301.76,5668301.76,2775086.55,2893215.21,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,825000.00,806859.85,806534.66,806534.66,806534.66,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,410000.00,325700.00,324930.35,324930.35,324930.35,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Judiciária,413000.00,514814.90,514695.91,514695.91,514695.91,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,5954000.00,5186633.42,5163547.95,5163547.95,5122737.82,40810.13,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,19100000.00,24148700.00,23857782.07,23857782.07,23798757.32,59024.75,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,2085000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,380000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,63275000.00,51309541.54,51285546.27,51285546.27,49641383.51,1644162.76,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,1292000.00,1531145.02,1530260.22,1530260.22,1393593.79,136666.43,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Trabalho,9000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,400000.00,630000.00,629276.35,629276.35,629276.35,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,20195370.00,34439455.92,34435364.45,34435364.45,34065375.77,369988.68,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,213516000.00,214001199.18,213303082.69,213303082.69,202318413.44,10984669.25,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2615300&no_anexo=RREO-Anexo%2002&co_poder=E
