ano,municipio_ibge,municipio_nome,localidade_do_gasto_raw,numero_emenda,autor,partido,uf_autor,tipo_emenda,funcao,subfuncao,valor_empenhado,valor_liquidado,valor_pago,fonte_api
2021,3169000,Tocantins,TOCANTINS (UF),202139350006,CELIO MOURA,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Ensino profissional,"96.626,30","76.386,89","30.774,30",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,TOCANTINS (UF),202137750005,VICENTINHO JUNIOR,,,Emenda Individual - Transferências com Finalidade Definida,Direitos da cidadania,"Direitos individuais, coletivos e difusos","15,00","15,00","15,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,TOCANTINS (UF),202140710005,TIAGO DIMAS,,,Emenda Individual - Transferências com Finalidade Definida,Desporto e lazer,Desporto comunitário,"15,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,TOCANTINS (UF),202130680003,CARLOS HENRIQUE GAGUIM,,,Emenda Individual - Transferências com Finalidade Definida,Desporto e lazer,Desporto comunitário,"20,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,TOCANTINS (UF),202141860010,EDUARDO GOMES,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Educação básica,"20,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,TOCANTINS (UF),202139350005,CELIO MOURA,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Ensino superior,"399.198,60","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,TOCANTINS (UF),202141860008,EDUARDO GOMES,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Ensino profissional,"494.770,48","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,TOCANTINS (UF),202139350003,CELIO MOURA,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Ensino superior,"499.723,98","140.000,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,TOCANTINS (UF),202141860009,EDUARDO GOMES,,,Emenda Individual - Transferências com Finalidade Definida,Segurança pública,Policiamento,"499.798,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,TOCANTINS (UF),202141860012,EDUARDO GOMES,,,Emenda Individual - Transferências com Finalidade Definida,Múltiplo,Múltiplo,"500.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,TOCANTINS (UF),202141860004,EDUARDO GOMES,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Ensino profissional,"500.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,TOCANTINS (UF),202141860003,EDUARDO GOMES,,,Emenda Individual - Transferências com Finalidade Definida,Direitos da cidadania,"Direitos individuais, coletivos e difusos","500.000,00","24.805,91","24.805,91",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,TOCANTINS (UF),202141860017,EDUARDO GOMES,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Ensino superior,"500.000,00","500.000,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,TOCANTINS (UF),202141860002,EDUARDO GOMES,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Ensino superior,"538.690,95","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,COLINAS DO TOCANTINS - TO,202126930005,PROFESSORA DORINHA SEABRA REZENDE,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"585.717,00","585.717,00","585.717,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,COLINAS DO TOCANTINS - TO,202141220002,OSIRES DAMASO,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"799.819,00","51.940,00","51.940,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,TOCANTINS (UF),202141860014,EDUARDO GOMES,,,Emenda Individual - Transferências com Finalidade Definida,Direitos da cidadania,"Direitos individuais, coletivos e difusos","999.718,32","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,TOCANTINS (UF),202141860015,EDUARDO GOMES,,,Emenda Individual - Transferências com Finalidade Definida,Agricultura,Promoção da produção agropecuária,"1.000.000,00","1.000.000,00","1.000.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,3169000,Tocantins,SANTA ROSA DO TOCANTINS - TO,202137750010,VICENTINHO JUNIOR,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"1.268.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
