Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,5767400.00,7365675.96,6888899.92,6883623.92,6883623.92,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4218350&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,85000.00,167749.86,152064.00,152064.00,152064.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4218350&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,971350.00,1517585.23,1258351.82,1258351.82,1258351.82,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4218350&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,1342000.00,2217564.99,1902393.70,1902393.70,1902393.70,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4218350&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,211500.00,166696.68,148911.24,148911.24,148911.24,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4218350&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,642500.00,986355.53,902154.51,902154.51,902154.51,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4218350&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,7501600.00,10066405.52,7636068.80,7586796.45,7586796.45,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4218350&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,1336000.00,1336000.00,1167616.74,1167616.74,1167616.74,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4218350&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,820000.00,720000.00,563253.05,563253.05,563253.05,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4218350&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,1380000.00,1380000.00,1121467.12,1121467.12,1121467.12,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4218350&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,30000.00,30000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4218350&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,676000.00,676000.00,534897.18,534810.05,534810.05,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4218350&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,7348350.00,9335057.16,8279316.66,8271437.63,8271437.63,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4218350&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,78325.00,112530.24,56788.75,56788.75,56788.75,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4218350&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,7666019.38,11741427.40,7096012.32,7086052.31,7086052.31,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4218350&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,35856044.38,47819048.57,37708195.81,37635721.29,37635721.29,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4218350&no_anexo=RREO-Anexo%2002&co_poder=E
