Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,3671800.00,3720718.11,3720718.11,3720718.11,3720718.11,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2414456&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,620200.00,482841.47,482841.47,482841.47,482841.47,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2414456&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,824305.00,1200749.05,1200735.63,1200735.63,1200735.63,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2414456&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,283600.00,280840.03,280840.03,280840.03,280840.03,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2414456&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,309300.00,106885.80,106885.80,106885.80,106885.80,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2414456&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,261300.00,211972.75,211972.75,211972.75,211972.75,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2414456&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,5597818.00,7599191.79,7595917.50,7595917.50,7595917.50,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2414456&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,155000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2414456&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,51000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2414456&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,1055960.00,1036663.12,1036258.12,1036258.12,1036258.12,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2414456&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,552578.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2414456&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,5027250.00,7515844.65,7009316.59,6774205.56,6774205.56,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2414456&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,520400.00,117288.28,117288.28,117288.28,117288.28,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2414456&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,1614000.00,2376424.71,2376424.71,2376424.71,2376424.71,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2414456&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,20544511.00,24649419.76,24139198.99,23904087.96,23904087.96,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2414456&no_anexo=RREO-Anexo%2002&co_poder=E
