ano,municipio_ibge,municipio_nome,localidade_do_gasto_raw,numero_emenda,autor,partido,uf_autor,tipo_emenda,funcao,subfuncao,valor_empenhado,valor_liquidado,valor_pago,fonte_api
2024,3169901,Ubá,UBAPORANGA - MG,202437310002,MISAEL VARELLA,,,Emenda Individual - Transferências com Finalidade Definida,Assistência social,Assistência comunitária,"35,00","35,00","35,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,3169901,Ubá,ITAJUBÁ - MG,202441480006,IGOR TIMO,,,Emenda Individual - Transferências com Finalidade Definida,Defesa nacional,Atenção básica,"449.902,33","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,3169901,Ubá,ARATUBA - CE,202491620008,ROBERIO MONTEIRO,,,Emenda Individual - Transferências Especiais,Encargos especiais,Outras transferências,"500.000,00","500.000,00","500.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,3169901,Ubá,GUAIÚBA - CE,202491620010,ROBERIO MONTEIRO,,,Emenda Individual - Transferências Especiais,Encargos especiais,Outras transferências,"50,00","50,00","50,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,3169901,Ubá,GUAIÚBA - CE,202443030002,ANDRE FERNANDES,,,Emenda Individual - Transferências Especiais,Encargos especiais,Outras transferências,"50,00","50,00","50,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,3169901,Ubá,CARAÚBAS DO PIAUÍ - PI,202443760008,FLORENTINO NETO,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"535.783,00","535.783,00","535.783,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,3169901,Ubá,ITAQUAQUECETUBA - SP,202443720001,FELIPE BECARI,,,Emenda Individual - Transferências com Finalidade Definida,Assistência social,Assistência comunitária,"70,00","70,00","70,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,3169901,Ubá,IRAJUBA - BA,202443950004,IVONEIDE CAETANO,,,Emenda Individual - Transferências Especiais,Encargos especiais,Outras transferências,"100,00","100,00","100,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,3169901,Ubá,TAQUARITUBA - SP,202443720003,FELIPE BECARI,,,Emenda Individual - Transferências com Finalidade Definida,Urbanismo,infra-estrutura urbana,"100,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,3169901,Ubá,ARATUBA - CE,202439610013,DR. JAZIEL,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"110,00","110,00","110,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,3169901,Ubá,ARAÇATUBA - SP,202443720019,FELIPE BECARI,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"150,00","150,00","150,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,3169901,Ubá,CARAGUATATUBA - SP,202443060004,ANTONIO CARLOS RODRIGUES,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"2.000.000,00","2.000.000,00","2.000.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,3169901,Ubá,ITAQUAQUECETUBA - SP,202437170015,MARCIO ALVINO,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"2.000.000,00","2.000.000,00","2.000.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,3169901,Ubá,PACATUBA - CE,202444910003,YURY DO PAREDAO,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"2.425.000,00","2.425.000,00","2.425.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,3169901,Ubá,TAUBATÉ - SP,202428120019,PR. MARCO FELICIANO,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"3.000.000,00","3.000.000,00","3.000.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,3169901,Ubá,ITAQUAQUECETUBA - SP,202445120007,SAULO PEDROSO,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"3.000.000,00","3.000.000,00","3.000.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,3169901,Ubá,TAUBATÉ - SP,202428120020,PR. MARCO FELICIANO,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"3.000.000,00","3.000.000,00","3.000.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
