Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,31319300.00,38813540.89,32594032.34,31164390.93,28901495.90,2262895.03,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,1585190.00,2076640.00,1308451.98,1210290.03,1210290.03,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,5513900.00,10706550.24,8108855.51,7607283.49,7607283.49,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,136500.00,346500.00,143792.07,142033.80,142033.80,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,472290.00,1308182.26,705817.77,701516.15,701516.15,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,1456375.00,2532532.05,1739505.90,1670431.17,1670431.17,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,63165592.53,93580321.85,87728821.85,85478170.57,73436065.02,12042105.55,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,21450868.43,43517320.72,43271364.83,43268918.21,14596274.10,28672644.11,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Energia,7146856.50,7296856.50,4946134.86,4791060.79,4791060.79,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,8168100.00,11799100.00,11255421.74,11000891.16,11000891.16,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Habitação,50000.00,10.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Indústria,635250.00,668250.00,578363.77,568363.77,568363.77,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,6568805.00,3568805.00,3095196.95,3095196.95,2739362.57,355834.38,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,46100000.00,52311350.02,51191544.76,51183754.13,51183754.13,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,876750.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,210000.00,10000.00,3499.00,3499.00,3499.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,44421278.00,74146976.95,57022175.83,54692164.39,51708326.36,2983838.03,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,31500.00,2447250.00,2434706.92,2317601.59,2317601.59,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,5059200.00,14793104.46,8319981.25,7471891.14,7471891.14,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,6880000.00,9070405.43,8079555.43,7870019.01,7870019.01,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,251247755.46,368993696.37,322527222.76,314237476.28,267920159.18,46317317.10,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=4128203&no_anexo=RREO-Anexo%2002&co_poder=E
